id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1354.6	-794.6	1	1	1	1	ffffff							
8	7	4	Mesh	-1354.6	-794.6	1	1	1	1	ffffff	456x2040			505.4	297.4	1224	792
9	6	3	Nc	-1354.6	-794.6	1	1	1	1	ffffff							
10	6	3	Hl	-1354.6	-794.6	1	1	1	1	ffffff							
11	6	3	Pl	-1354.6	-794.6	1	1	1	1	ffffff							
12	6	3	Oh	-1354.6	-794.6	1	1	1	1	ffffff							
13	6	3	sd	-1354.6	-794.6	1	1	1	1	ffffff							
14	6	3	Bl	-1354.6	-794.6	1	1	1	1	ffffff							
15	14	4	Zl	1159.4	-1096.1	0.421	0.421	1	1	ffffff							
16	15	5	projectile1	1159.4	-1096.1	0.506	0.506	1	1	ffffff	36x16			1159.4	-1096.1	35.6	47.3
17	14	4	ld	1093.4	-98.6	1	1	1	1	ffffff							
18	17	5	graveyard_evil_tree	1093.4	-98.6	1.211	1.248	1	1	ffffff	99x103			1093.4	-146.1	119.9	128.5
19	17	5	hd	1093.4	-198.6	1	1	1	1	ffffff							
20	19	6	ParticleContainer	1093.4	-208.6	1.5	4	1	1	ffffff	1x1						
21	14	4	kl	765.2	-48.9	1	1	1	1	ffffff							
22	21	5	enemy1	765.2	-48.9	-3	3	1	1	ffffff	16x17			765.2	-74.4	48	51
23	14	4	kl	154.3	23.4	1	1	1	1	ffffff							
24	23	5	enemy1	154.3	23.4	3	3	1	1	ffffff	16x17			154.3	-2.1	48	51
25	14	4	kl	265	26.2	1	1	1	1	ffffff							
26	25	5	enemy1	265	26.2	3	3	1	1	ffffff	16x17			265	0.7	48	51
27	14	4	Xc	595.3	37.8	1	1	1	1	ffffff							
28	27	5	gem	595.3	37.8	2	2	1	1	ffffff	16x16			595.3	21.8	32	32
29	14	4	Xc	614.1	39.9	1	1	1	1	ffffff							
30	29	5	gem	614.1	39.9	2	2	1	1	ffffff	16x16			614.1	23.9	32	32
31	14	4	kl	232.5	61	1	1	1	1	ffffff							
32	31	5	enemy1	232.5	61	3	3	1	1	ffffff	16x17			232.5	35.5	48	51
33	14	4	Xc	641.4	71.5	1	1	1	1	ffffff							
34	33	5	gem	641.4	71.5	2	2	1	1	ffffff	16x16			641.4	55.5	32	32
35	14	4	Xc	632.8	85.2	1	1	1	1	ffffff							
36	35	5	gem	632.8	85.2	2	2	1	1	ffffff	16x16			632.8	69.2	32	32
37	14	4	Xc	574.3	100.7	1	1	1	1	ffffff							
38	37	5	gem	574.3	100.7	2	2	1	1	ffffff	16x16			574.3	84.7	32	32
39	14	4	Xc	819.2	104.3	1	1	1	1	ffffff							
40	39	5	gem	819.2	104.3	2	2	1	1	ffffff	16x16			819.2	88.3	32	32
41	14	4	kl	638.3	119.2	1	1	1	1	ffffff							
