id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1400.7	-757.7	1	1	1	1	ffffff							
8	7	4	Mesh	-1400.7	-757.7	1	1	1	1	ffffff	456x2040			507.3	286.3	1224	792
9	6	3	Nc	-1400.7	-757.7	1	1	1	1	ffffff							
10	6	3	Hl	-1400.7	-757.7	1	1	1	1	ffffff							
11	6	3	Pl	-1400.7	-757.7	1	1	1	1	ffffff							
12	6	3	Oh	-1400.7	-757.7	1	1	1	1	ffffff							
13	6	3	sd	-1400.7	-757.7	1	1	1	1	ffffff							
14	6	3	Bl	-1400.7	-757.7	1	1	1	1	ffffff							
15	14	4	ld	1047.3	-61.7	1	1	1	1	ffffff							
16	15	5	graveyard_evil_tree	1047.3	-61.7	1.209	1.242	1	1	ffffff	99x103			1047.3	-109	119.7	127.9
17	15	5	hd	1047.3	-161.7	1	1	1	1	ffffff							
18	17	6	ParticleContainer	1047.3	-171.7	1.5	4	1	1	ffffff	1x1						
19	14	4	kl	380.3	-27.9	1	1	1	1	ffffff							
20	19	5	enemy1	380.3	-27.9	3	3	1	1	ffffff	16x17			380.3	-53.4	48	51
21	14	4	kl	261.7	70.1	1	1	1	1	ffffff							
22	21	5	enemy1	261.7	70.1	3	3	1	1	ffffff	16x17			261.7	44.6	48	51
23	14	4	Xc	549.2	74.7	1	1	1	1	ffffff							
24	23	5	gem	549.2	74.7	2	2	1	1	ffffff	16x16			549.2	58.7	32	32
25	14	4	Xc	568	76.8	1	1	1	1	ffffff							
26	25	5	gem	568	76.8	2	2	1	1	ffffff	16x16			568	60.8	32	32
27	14	4	Xc	595.3	108.4	1	1	1	1	ffffff							
28	27	5	gem	595.3	108.4	2	2	1	1	ffffff	16x16			595.3	92.4	32	32
29	14	4	Xc	773.1	141.2	1	1	1	1	ffffff							
30	29	5	gem	773.1	141.2	2	2	1	1	ffffff	16x16			773.1	125.2	32	32
31	14	4	kl	607.9	141.8	1	1	1	1	ffffff							
32	31	5	enemy1	607.9	141.8	-3	3	1	1	ffffff	16x17			607.9	116.3	48	51
33	14	4	Xc	265.6	145.5	1	1	1	1	ffffff							
34	33	5	gem	265.6	145.5	2	2	1	1	ffffff	16x16			265.6	129.5	32	32
35	14	4	Xc	575.4	159	1	1	1	1	ffffff							
36	35	5	gem	575.4	159	2.416	2.416	1	1	ffffff	16x16			575.4	139.7	38.6	38.6
37	14	4	kl	885.1	166.5	1	1	1	1	ffffff							
38	37	5	enemy1	885.1	166.5	-3	3	1	1	ffffff	16x17			885.1	141	48	51
39	14	4	kl	586.7	172.1	1	1	1	1	ffffff							
40	39	5	enemy1	586.7	172.1	-3	3	1	1	09dffd	16x17			586.7	146.6	48	51
41	14	4	Xc	254.7	186.3	1	1	1	1	ffffff							
42	41	5	gem	254.7	186.3	2	2	1	1	ffffff	16x16			254.7	170.3	32	32
