id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	np	0	0	1	1	1	1	ffffff							
2	1	2	Fu	0	0	1	1	1	1	ffffff							
3	1	2	Lh	515.5	310	1	1	1	1	ffffff							
4	3	3	Qu	515.5	310	1	1	1	1	ffffff							
5	4	4	Mesh	515.5	310	1	1	1	1	ffffff	456x2040						
6	4	4	Mesh	515.5	310	1	1	1	1	ffffff	456x2040						
7	4	4	Mesh	515.5	310	1	1	1	1	ffffff	456x2040						
8	4	4	Mesh	515.5	310	1	1	1	1	ffffff	456x2040						
9	3	3	Bl	515.5	310	1	1	1	1	ffffff							
10	9	4	Xu	791	560	1	1	1	1	ffffff							
11	10	5	lobby_task_npc_groundskeeper_01	791	560	1	1	1	1	ffffff	65x65			791	511.3	97.5	97.5
12	10	5	Vu	791	560	1	1	1	0	ffffff							
13	12	6	task_bg	651	346.5	1	1	1	0	ffffff	6x6						
14	12	6	Graphics	791	560	1	1	1	0	ffffff							
15	12	6	T:묘지의 사악한 나무를 활성화하세요	791	361.5	1	1	1	0	ffffff		16	묘지의 사악한 나무를 활성화하세요				
16	12	6	T:3/13	791	416.5	1	1	1	0	ffffff		14	3/13				
17	12	6	Graphics	791	560	1	1	1	0	ffffff							
18	12	6	Graphics	791	560	1	1	1	0	ffffff							
19	12	6	T:보상:	791	476.3	1	1	1	0	ffffff		16	보상:				
20	12	6	skill_dash	691	519.5	1	1	1	0	ffffff	64x46						
21	12	6	T:돌진	733	519.5	1	1	1	0	ffffff		14	돌진				
22	9	4	Ad	515.5	310	1	1	1	0	ffffff							
23	22	5	quest_progress_0	515.5	310	1	1	1	0	ffffff	36x36						
24	9	4	Xu	960	560	1	1	1	1	ffffff							
25	24	5	lobby_task_npc_herbalist_01	960	560	1	1	1	1	ffffff	65x65			960	511.3	97.5	97.5
26	24	5	Vu	960	560	1	1	1	0	ffffff							
27	26	6	task_bg	820	366.5	1	1	1	0	ffffff	6x6						
28	26	6	Graphics	960	560	1	1	1	0	ffffff							
29	26	6	T:모닥불에서 체력을 회복하세요	960	381.5	1	1	1	0	ffffff		16	모닥불에서 체력을 회복하세요				
30	26	6	T:0/4	960	416.5	1	1	1	0	ffffff		14	0/4				
