id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1104.5	-700	1	1	1	1	ffffff							
8	7	4	Mesh	-1104.5	-700	1	1	1	1	ffffff	456x2040			515.5	296	1224	792
9	6	3	Nc	-1104.5	-700	1	1	1	1	ffffff							
10	6	3	Hl	-1104.5	-700	1	1	1	1	ffffff							
11	6	3	Pl	-1104.5	-700	1	1	1	1	ffffff							
12	6	3	Oh	-1104.5	-700	1	1	1	1	ffffff							
13	6	3	sd	-1104.5	-700	1	1	1	1	ffffff							
14	6	3	Bl	-1104.5	-700	1	1	1	1	ffffff							
15	14	4	Wl	-588.5	-856	1	1	1	1	ffffff							
16	15	5	fire	-588.5	-856	2.5	2.5	1	1	ffffff	24x24			-588.5	-868	60	60
17	15	5	Gl	-588.5	-876	1	1	1	1	ffffff							
18	17	6	heart	-588.5	-890	1.3	1.8	1	1	ffffff	32x32						
19	14	4	ld	815.5	404	1	1	1	1	ffffff							
20	19	5	graveyard_evil_tree	815.5	404	1.2	1.2	1	1	ffffff	99x103			815.5	358.3	118.8	123.6
21	19	5	hd	815.5	304	1	1	1	1	ffffff							
22	21	6	ParticleContainer	815.5	294	1.5	4	1	1	ffffff	1x1						
23	14	4	Wl	-1500.5	-688	1	1	1	1	ffffff							
24	23	5	fire	-1500.5	-688	2.5	2.5	1	1	ffffff	24x24			-1500.5	-700	60	60
25	23	5	Gl	-1500.5	-708	1	1	1	1	ffffff							
26	25	6	heart	-1500.5	-722	1.3	1.8	1	1	ffffff	32x32						
27	14	4	ic	515.5	310	1	1	1	1	ffffff							
28	27	5	hero	515.5	310	3	3	1	1	ffffff	16x16			515.5	286	48	48
29	27	5	Jl	515.5	310	1	1	1	1	ffffff							
30	27	5	Kl	515.5	310	1	1	1	1	ffffff							
31	27	5	Ql	515.5	250	1	1	0	0	ffffff							
32	31	6	we	476	246.5	1	1	1	0	ffffff							
33	32	7	Graphics	476	246.5	1	1	1	0	ffffff							
34	32	7	Graphics	482	249.5	1	1	1	0	ffffff							
35	31	6	we	488	246.5	1	1	1	0	ffffff							
36	35	7	Graphics	488	246.5	1	1	1	0	ffffff							
37	35	7	Graphics	494	249.5	1	1	1	0	ffffff							
38	31	6	we	500	246.5	1	1	1	0	ffffff							
39	38	7	Graphics	500	246.5	1	1	1	0	ffffff							
40	38	7	Graphics	506	249.5	1	1	1	0	ffffff							
41	31	6	we	512	246.5	1	1	1	0	ffffff							
42	41	7	Graphics	512	246.5	1	1	1	0	ffffff							
43	41	7	Graphics	518	249.5	1	1	1	0	ffffff							
44	31	6	we	524	246.5	1	1	1	0	ffffff							
45	44	7	Graphics	524	246.5	1	1	1	0	ffffff							
46	44	7	Graphics	530	249.5	1	1	1	0	ffffff							
47	31	6	we	536	246.5	1	1	1	0	ffffff							
