id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1746.3	-686.9	1	1	1	1	ffffff							
8	7	4	Mesh	-1746.3	-686.9	1	1	1	1	ffffff	456x2040			497.7	285.1	1224	792
9	6	3	Nc	-1746.3	-686.9	1	1	1	1	ffffff							
10	6	3	Hl	-1746.3	-686.9	1	1	1	1	ffffff							
11	6	3	Pl	-1746.3	-686.9	1	1	1	1	ffffff							
12	6	3	Oh	-1746.3	-686.9	1	1	1	1	ffffff							
13	6	3	sd	-1746.3	-686.9	1	1	1	1	ffffff							
14	6	3	Bl	-1746.3	-686.9	1	1	1	1	ffffff							
15	14	4	kl	-26.6	-18.5	1	1	1	1	ffffff							
16	15	5	enemy1	-26.6	-18.5	3	3	1	1	ffffff	16x17			-26.6	-44	48	51
17	14	4	kl	680.8	-15	1	1	1	1	ffffff							
18	17	5	enemy1	680.8	-15	-3	3	1	1	ffffff	16x17			680.8	-40.5	48	51
19	14	4	ld	701.7	9.1	1	1	1	1	ffffff							
20	19	5	graveyard_evil_tree	701.7	9.1	1.195	1.179	1	1	ffffff	99x103			701.7	-35.8	118.3	121.4
21	19	5	hd	701.7	-90.9	1	1	1	1	ffffff							
22	21	6	ParticleContainer	701.7	-100.9	1.5	4	1	1	ffffff	1x1						
23	14	4	kl	-11	60.7	1	1	1	1	ffffff							
24	23	5	enemy1	-11	60.7	3	3	1	1	ffffff	16x17			-11	35.2	48	51
25	14	4	Xc	-90.1	80.2	1	1	1	1	ffffff							
26	25	5	gem	-90.1	80.2	2	2	1	1	ffffff	16x16			-90.1	64.2	32	32
27	14	4	kl	546.9	101.8	1	1	1	1	ffffff							
28	27	5	enemy1	546.9	101.8	-3	3	1	1	ffffff	16x17			546.9	76.3	48	51
29	14	4	Xc	-242.9	129.3	1	1	1	1	ffffff							
30	29	5	gem	-242.9	129.3	2	2	1	1	ffffff	16x16			-242.9	113.3	32	32
31	14	4	kl	-65.6	132.3	1	1	1	1	ffffff							
32	31	5	enemy1	-65.6	132.3	3	3	1	1	ffffff	16x17			-65.6	106.8	48	51
33	14	4	Xc	20.6	159.1	1	1	1	1	ffffff							
34	33	5	gem	20.6	159.1	2	2	1	1	ffffff	16x16			20.6	143.1	32	32
35	14	4	Xc	-58.1	188.7	1	1	1	1	ffffff							
36	35	5	gem	-58.1	188.7	2	2	1	1	ffffff	16x16			-58.1	172.7	32	32
37	14	4	Xc	-11.6	202.7	1	1	1	1	ffffff							
38	37	5	gem	-11.6	202.7	2	2	1	1	ffffff	16x16			-11.6	186.7	32	32
39	14	4	kl	62.4	215.3	1	1	1	1	ffffff							
40	39	5	enemy1	62.4	215.3	3	3	1	1	ffffff	16x17			62.4	189.8	48	51
41	14	4	kl	913.9	223.6	1	1	1	1	ffffff							
