id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1915.6	-718.1	1	1	1	1	ffffff							
8	7	4	Mesh	-1915.6	-718.1	1	1	1	1	ffffff	456x2040			496.4	277.9	1224	792
9	6	3	Nc	-1915.6	-718.1	1	1	1	1	ffffff							
10	6	3	Hl	-1915.6	-718.1	1	1	1	1	ffffff							
11	6	3	Pl	-1915.6	-718.1	1	1	1	1	ffffff							
12	6	3	Oh	-1915.6	-718.1	1	1	1	1	ffffff							
13	6	3	sd	-1915.6	-718.1	1	1	1	1	ffffff							
14	6	3	Bl	-1915.6	-718.1	1	1	1	1	ffffff							
15	14	4	kl	706	-45	1	1	1	1	ffffff							
16	15	5	enemy1	706	-45	-3	3	1	1	ffffff	16x17			706	-70.5	48	51
17	14	4	kl	233.1	-30	1	1	1	1	ffffff							
18	17	5	enemy1	233.1	-30	3	3	1	1	ffffff	16x17			233.1	-55.5	48	51
19	14	4	ld	532.4	-22.1	1	1	1	1	ffffff							
20	19	5	graveyard_evil_tree	532.4	-22.1	1.208	1.235	1	1	ffffff	99x103			532.4	-69.3	119.6	127.5
21	19	5	hd	532.4	-122.1	1	1	1	1	ffffff							
22	21	6	ParticleContainer	532.4	-132.1	1.5	4	1	1	ffffff	1x1						
23	14	4	kl	812.2	-7.8	1	1	1	1	ffffff							
24	23	5	enemy1	812.2	-7.8	-3	3	1	1	ffffff	16x17			812.2	-33.3	48	51
25	14	4	Xc	-259.3	49	1	1	1	1	ffffff							
26	25	5	gem	-259.3	49	2	2	1	1	ffffff	16x16			-259.3	33	32	32
27	14	4	kl	778.2	98.2	1	1	1	1	ffffff							
28	27	5	enemy1	778.2	98.2	-3	3	1	1	ffffff	16x17			778.2	72.7	48	51
29	14	4	Xc	-412.2	98	1	1	1	1	ffffff							
30	29	5	gem	-412.2	98	2	2	1	1	ffffff	16x16			-412.2	82	32	32
31	14	4	kl	953.5	116.3	1	1	1	1	ffffff							
32	31	5	enemy1	953.5	116.3	-3	3	1	1	ffffff	16x17			953.5	90.8	48	51
33	14	4	Xc	-148.7	127.8	1	1	1	1	ffffff							
34	33	5	gem	-148.7	127.8	2	2	1	1	ffffff	16x16			-148.7	111.8	32	32
35	14	4	kl	1000.9	140.5	1	1	1	1	ffffff							
36	35	5	enemy1	1000.9	140.5	-3	3	1	1	ffffff	16x17			1000.9	115	48	51
37	14	4	kl	353.2	152.8	1	1	1	1	ffffff							
38	37	5	enemy1	353.2	152.8	3	3	1	1	ffffff	16x17			353.2	127.3	48	51
39	14	4	Xc	-227.4	157.5	1	1	1	1	ffffff							
40	39	5	gem	-227.4	157.5	2	2	1	1	ffffff	16x16			-227.4	141.5	32	32
41	14	4	Xc	-180.9	171.5	1	1	1	1	ffffff							
42	41	5	gem	-180.9	171.5	2	2	1	1	ffffff	16x16			-180.9	155.5	32	32
