id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	0	we	0	0	1	1	1	1	ffffff							
1	0	1	vu	0	0	1	1	1	1	ffffff							
2	1	2	Fd	0	0	1	1	1	1	ffffff							
3	1	2	bu	0	0	1	1	1	1	ffffff							
4	1	2	rl	0	0	1	1	1	1	ffffff							
5	1	2	Uc	0	0	1	1	1	1	ffffff							
6	1	2	Lh	515.5	310	1	1	1	1	ffffff							
7	6	3	id	-1915.6	-718.1	1	1	1	1	ffffff							
8	7	4	Mesh	-1915.6	-718.1	1	1	1	1	ffffff	456x2040			496.4	277.9	1224	792
9	6	3	Nc	-1915.6	-718.1	1	1	1	1	ffffff							
10	6	3	Hl	-1915.6	-718.1	1	1	1	1	ffffff							
11	6	3	Pl	-1915.6	-718.1	1	1	1	1	ffffff							
12	6	3	Oh	-1915.6	-718.1	1	1	1	1	ffffff							
13	6	3	sd	-1915.6	-718.1	1	1	1	1	ffffff							
14	6	3	Bl	-1915.6	-718.1	1	1	1	1	ffffff							
15	14	4	kl	511.7	-46.5	1	1	1	1	ffffff							
16	15	5	enemy1	511.7	-46.5	3	3	1	1	ffffff	16x17			511.7	-72	48	51
17	14	4	kl	448.1	-41.5	1	1	1	1	ffffff							
18	17	5	enemy1	448.1	-41.5	3	3	1	1	ffffff	16x17			448.1	-67	48	51
19	14	4	ld	532.4	-22.1	1	1	1	1	ffffff							
20	19	5	graveyard_evil_tree	532.4	-22.1	1.21	1.244	1	1	ffffff	99x103			532.4	-69.4	119.7	127.9
21	19	5	hd	532.4	-122.1	1	1	1	1	ffffff							
22	21	6	ParticleContainer	532.4	-132.1	1.5	4	1	1	ffffff	1x1						
23	14	4	Xc	543.8	-16.2	1	1	1	1	ffffff							
24	23	5	gem	543.8	-16.2	2	2	1	1	ffffff	16x16			543.8	-32.2	32	32
25	14	4	Xc	740.2	-14.1	1	1	1	1	ffffff							
26	25	5	gem	740.2	-14.1	2	2	1	1	ffffff	16x16			740.2	-30.1	32	32
27	14	4	Xc	129	34.1	1	1	1	1	ffffff							
28	27	5	gem	129	34.1	2	2	1	1	ffffff	16x16			129	18.1	32	32
29	14	4	Xc	683.4	40.3	1	1	1	1	ffffff							
30	29	5	gem	683.4	40.3	2	2	1	1	ffffff	16x16			683.4	24.3	32	32
31	14	4	Xc	-259.3	49	1	1	1	1	ffffff							
32	31	5	gem	-259.3	49	2	2	1	1	ffffff	16x16			-259.3	33	32	32
33	14	4	Xc	-412.2	98	1	1	1	1	ffffff							
34	33	5	gem	-412.2	98	2	2	1	1	ffffff	16x16			-412.2	82	32	32
35	14	4	Xc	996.6	115.1	1	1	1	1	ffffff							
36	35	5	gem	996.6	115.1	2	2	1	1	ffffff	16x16			996.6	99.1	32	32
37	14	4	Xc	-148.7	127.8	1	1	1	1	ffffff							
38	37	5	gem	-148.7	127.8	2	2	1	1	ffffff	16x16			-148.7	111.8	32	32
39	14	4	Xc	122.8	145.6	1	1	1	1	ffffff							
40	39	5	gem	122.8	145.6	2	2	1	1	ffffff	16x16			122.8	129.6	32	32
41	14	4	Xc	261.9	148	1	1	1	1	ffffff							
42	41	5	gem	261.9	148	2	2	1	1	ffffff	16x16			261.9	132	32	32
