id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadBattleHudWindow					1	1								
1	0	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
2	0	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
3	0	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
4	0	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
5	0	2	T:1	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	1	997.1	28.0	9.4	21.6
6	0	2	T:0/15	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/15	512.5	28.0	23.5	14.4
7	0	2	T:00:00	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:00	512.5	55.0	32.4	16.8
8	0	2	quest_pointer	515.5	290.0	1.000	1.000	1.00	0	ffffff	94x58			515.5	290.0	94.0	58.0
9	0	2	T:0m	481.1	339.4	1.000	1.000	1.00	0	ffffff		14.0	0m	481.1	339.4	2306556000.0	2306556000.0
10	-1	1	UndeadReadyWindow					1	1								
11	10	2	Dimmer	515.5	290.0	1.000	1.000	0.50	1	000000				515.5	290.0	1031.1	580.0
12	10	2	btn_shadowed	515.5	435.0	1.078	1.078	1.00	1	ffffff	234x105			515.5	435.0	280.3	112.1
13	10	2	T:시작	516.6	437.2	1.078	1.078	1.00	1	ffffff		30.0	시작	516.6	437.2	64.0	38.8
14	-1	1	UndeadLevelUpWindow					0	0								
15	-1	1	world					1	1								
16	15	2	graveyard_evil_tree	-1008.5	1052.0	1.204	1.220	1.00	1	ffffff	99x103			-1008.5	1005.5	119.2	125.7
17	15	2	fire	1355.5	656.0	2.500	2.500	1.00	1	ffffff	24x24			1355.5	644.0	60.0	60.0
18	15	2	graveyard_evil_tree	239.5	284.0	1.208	1.236	1.00	1	ffffff	99x103			239.5	236.9	119.6	127.3
19	15	2	fire	-972.5	-736.0	2.500	2.500	1.00	1	ffffff	24x24			-972.5	-748.0	60.0	60.0
20	15	2	fire	59.5	1640.0	2.500	2.500	1.00	1	ffffff	24x24			59.5	1628.0	60.0	60.0
21	15	2	heart	-143.8	831.3	0.682	0.944	0.06	1	ffffff	32x32			-143.8	831.3	21.8	30.2
22	15	2	heart	59.0	1589.1	0.624	0.865	0.43	1	ffffff	32x32			59.0	1589.1	20.0	27.7
23	15	2	fire	251.5	416.0	2.500	2.500	1.00	1	ffffff	24x24			251.5	404.0	60.0	60.0
24	15	2	heart	1350.5	600.6	0.625	0.866	0.45	1	ffffff	32x32			1350.5	600.6	20.0	27.7
25	15	2	heart	-1588.7	1600.5	0.645	0.893	0.42	1	ffffff	32x32			-1588.7	1600.5	20.6	28.6
26	15	2	graveyard_evil_tree	1439.5	-1444.0	1.209	1.243	1.00	1	ffffff	99x103			1439.5	-1491.4	119.7	128.0
27	15	2	fire	2171.5	8.0	2.500	2.500	1.00	1	ffffff	24x24			2171.5	-4.0	60.0	60.0
28	15	2	hero	515.5	310.0	3.000	3.000	1.00	1	ffffff	16x16			515.5	286.0	48.0	48.0
29	15	2	heart	-153.9	845.1	0.611	0.845	0.48	1	ffffff	32x32			-153.9	845.1	19.5	27.1
