id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadBattleHudWindow					1	1								
1	0	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
2	0	2	bar	130.6	27.0	1.000	1.000	1.00	1	ffffff	16x16			130.6	27.0	191.2	18.0
3	0	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
4	0	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
5	0	2	T:1	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	1	997.1	28.0	9.4	21.6
6	0	2	T:3/15	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	3/15	512.5	28.0	23.5	14.4
7	0	2	T:00:12	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:12	512.5	55.0	32.4	16.8
8	0	2	quest_pointer	272.1	536.5	1.000	1.000	1.00	1	ffffff	94x58			272.1	536.5	107.3	107.6
9	0	2	T:93m	279.6	529.4	1.000	1.000	1.00	1	ffffff		14.0	93m	279.6	529.4	30.0	16.8
10	-1	1	UndeadReadyWindow					0	0								
11	-1	1	UndeadLevelUpWindow					0	0								
12	-1	1	world					1	1								
13	12	2	T:도와줘!	-1049.7	1817.2	1.000	1.000	1.00	1	000000			도와줘!	-1049.7	1817.2	25.5	10.1
14	12	2	T:-2	244.0	348.3	1.000	1.000	1.00	1	78c8fa			-2	244.0	348.3	12.5	17.8
15	12	2	T:+3 XP	517.2	297.4	1.000	1.000	1.00	1	00ff00			+3 XP	517.2	297.4	38.6	18.0
16	12	2	graveyard_evil_tree	-1073.7	1117.2	1.208	1.239	1.00	1	ffffff	99x103			-1073.7	1069.9	119.6	127.6
17	12	2	fire	1290.3	721.2	2.500	2.500	1.00	1	ffffff	24x24			1290.3	709.2	60.0	60.0
18	12	2	graveyard_evil_tree	174.3	349.2	1.205	1.224	1.00	1	ffffff	99x103			174.3	302.5	119.3	126.1
19	12	2	warrior_lay	-1049.7	1875.2	1.000	1.000	1.00	1	ffffff	48x48			-1049.7	1851.2	48.0	48.0
20	12	2	fire	-1037.7	-670.8	2.500	2.500	1.00	1	ffffff	24x24			-1037.7	-682.8	60.0	60.0
21	12	2	fire	-5.7	1705.2	2.500	2.500	1.00	1	ffffff	24x24			-5.7	1693.2	60.0	60.0
22	12	2	heart	514.7	-1581.9	0.578	0.801	0.70	1	ffffff	32x32			514.7	-1581.9	18.5	25.6
23	12	2	gem	220.5	204.5	2.000	2.000	1.00	1	ffffff	16x16			220.5	188.5	32.0	32.0
24	12	2	heart	-3.1	1644.8	0.651	0.901	0.20	1	ffffff	32x32			-3.1	1644.8	20.8	28.8
25	12	2	gem	323.6	192.7	2.000	2.000	1.00	1	ffffff	16x16			323.6	176.7	32.0	32.0
26	12	2	gem	203.6	562.9	2.000	2.000	1.00	1	ffffff	16x16			203.6	546.9	32.0	32.0
27	12	2	fire	186.3	481.2	2.500	2.500	1.00	1	ffffff	24x24			186.3	469.2	60.0	60.0
28	12	2	heart	1297.6	656.3	0.686	0.950	0.23	1	ffffff	32x32			1297.6	656.3	22.0	30.4
29	12	2	enemy1	246.1	453.0	3.000	3.000	1.00	1	ffffff	16x17			246.1	427.5	48.0	51.0
