id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadBattleHudWindow					1	1								
1	0	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
2	0	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
3	0	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
4	0	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
5	0	2	T:2	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	2	997.1	28.0	9.4	21.6
6	0	2	T:0/40	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/40	512.5	28.0	23.5	14.4
7	0	2	T:00:12	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:12	512.5	55.0	32.4	16.8
8	0	2	quest_pointer	284.9	527.4	1.000	1.000	1.00	0	ffffff	94x58			284.9	527.4	107.1	107.8
9	0	2	T:95m	292.3	520.2	1.000	1.000	1.00	0	ffffff		14.0	95m	292.3	520.2	30.0	16.8
10	-1	1	UndeadReadyWindow					0	0								
11	-1	1	UndeadLevelUpWindow					1	1								
12	11	2	Dimmer	515.5	290.0	1.000	1.000	0.70	1	000000				515.5	290.0	1031.1	580.0
13	11	2	T:레벨 업!	515.5	68.0	1.000	1.000	1.00	1	ffffff		24.0	레벨 업!	515.5	68.0	78.1	28.8
14	11	2	reward_button_bg	515.5	148.0	1.080	1.080	1.00	1	ef4444	34x34			515.5	148.0	453.6	99.4
15	11	2	icon_bullet_damage	331.9	148.0	1.080	1.080	1.00	1	ffffff	32x32			331.9	148.0	58.3	58.3
16	11	2	T:총알	403.8	135.0	1.080	1.080	1.00	1	ffffff		18.0	총알	403.8	135.0	35.8	23.3
17	11	2	T:피해량 +100%	430.8	162.0	1.080	1.080	1.00	1	ffffff		14.0	피해량 +100%	430.8	162.0	89.9	18.1
18	11	2	reward_button_bg	515.5	255.0	1.000	1.000	0.90	1	f59e0b	34x34			515.5	255.0	420.0	92.0
19	11	2	icon_bullets_firerate	345.5	255.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	255.0	54.0	54.0
20	11	2	T:총알	412.1	243.0	1.000	1.000	1.00	1	ffffff		18.0	총알	412.1	243.0	33.1	21.6
21	11	2	T:발사 속도 +30%	441.4	268.0	1.000	1.000	1.00	1	ffffff		14.0	발사 속도 +30%	441.4	268.0	91.9	16.8
22	11	2	reward_button_bg	515.5	362.0	1.000	1.000	0.90	1	a3e635	34x34			515.5	362.0	420.0	92.0
23	11	2	icon_hero_collectradius	345.5	362.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	362.0	54.0	54.0
24	11	2	T:영웅	412.1	350.0	1.000	1.000	1.00	1	ffffff		18.0	영웅	412.1	350.0	33.1	21.6
25	11	2	T:수집 범위 +30%	441.4	375.0	1.000	1.000	1.00	1	ffffff		14.0	수집 범위 +30%	441.4	375.0	91.9	16.8
26	11	2	reward_button_bg	515.5	497.0	0.975	0.975	1.00	1	ffffff	34x34			515.5	497.0	204.8	56.6
27	11	2	T:선택	515.5	497.0	0.975	0.975	1.00	1	ffffff		20.0	선택	515.5	497.0	35.9	23.4
28	-1	1	world					1	1								
