id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadBattleHudWindow					1	1								
1	0	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
2	0	2	bar	157.6	27.0	1.000	1.000	1.00	1	ffffff	16x16			157.6	27.0	245.4	18.0
3	0	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
4	0	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
5	0	2	T:4	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	4	997.1	28.0	9.4	21.6
6	0	2	T:77/300	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	77/300	512.5	28.0	36.0	14.4
7	0	2	T:01:11	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	01:11	512.5	55.0	32.4	16.8
8	0	2	quest_pointer	242.7	531.2	1.000	1.000	1.00	1	ffffff	94x58			242.7	531.2	108.8	105.7
9	0	2	T:97m	250.7	524.5	1.000	1.000	1.00	1	ffffff		14.0	97m	250.7	524.5	30.0	16.8
10	-1	1	UndeadReadyWindow					0	0								
11	-1	1	UndeadReviveWindow					1	1								
12	11	2	Dimmer	515.5	290.0	1.000	1.000	0.78	1	000000				515.5	290.0	1031.1	580.0
13	11	2	task_bg	515.5	290.0	1.000	1.000	1.00	1	ffffff	6x6			515.5	290.0	440.0	320.0
14	11	2	T:부활?	516.5	182.0	1.000	1.000	1.00	1	ffffff		28.0	부활?	516.5	182.0	69.6	33.6
15	11	2	T:8	517.8	256.0	1.000	1.000	1.00	1	ffd36a		65.0	8	517.8	256.0	38.4	78.0
16	11	2	reward_button_bg	515.5	344.0	1.000	1.000	1.00	1	facc15	34x34			515.5	344.0	230.0	58.0
17	11	2	T:부활	515.5	344.0	1.000	1.000	1.00	1	ffffff		20.0	부활	515.5	344.0	36.8	24.0
18	11	2	reward_button_bg	515.5	412.0	1.000	1.000	1.00	1	a53a3a	34x34			515.5	412.0	230.0	58.0
19	11	2	T:아니요	515.5	412.0	1.000	1.000	1.00	1	ffffff		20.0	아니요	515.5	412.0	55.2	24.0
20	-1	1	UndeadLevelUpWindow					0	0								
21	-1	1	world					1	1								
22	21	2	T:도와줘!	-1235.9	1780.5	1.000	1.000	1.00	1	000000			도와줘!	-1235.9	1780.5	25.5	10.1
23	21	2	fire	1920.1	36.5	2.500	2.500	1.00	1	ffffff	24x24			1920.1	24.5	60.0	60.0
24	21	2	gem	830.3	404.7	2.000	2.000	1.00	1	ffffff	16x16			830.3	388.7	32.0	32.0
25	21	2	graveyard_evil_tree	-11.9	312.5	1.199	1.196	1.00	1	ffffff	99x103			-11.9	267.0	118.7	123.2
26	21	2	gem	200.7	347.1	2.000	2.000	1.00	1	ffffff	16x16			200.7	331.1	32.0	32.0
27	21	2	enemy1	532.7	252.9	-3.000	3.000	1.00	1	ffffff	16x17			532.7	227.4	48.0	51.0
28	21	2	warrior_lay	-1235.9	1838.5	1.000	1.000	1.00	1	ffffff	48x48			-1235.9	1814.5	48.0	48.0
29	21	2	fire	2232.1	-1811.5	2.500	2.500	1.00	1	ffffff	24x24			2232.1	-1823.5	60.0	60.0
30	21	2	fire	1104.1	684.5	2.500	2.500	1.00	1	ffffff	24x24			1104.1	672.5	60.0	60.0
