id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadBattleHudWindow					1	1								
1	0	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
2	0	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
3	0	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
4	0	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
5	0	2	T:1	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	1	997.1	28.0	9.4	21.6
6	0	2	T:0/15	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/15	512.5	28.0	23.5	14.4
7	0	2	T:00:00	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:00	512.5	55.0	32.4	16.8
8	0	2	quest_pointer	242.7	531.2	1.000	1.000	1.00	0	ffffff	94x58			242.7	531.2	108.8	105.7
9	0	2	T:97m	250.7	524.5	1.000	1.000	1.00	0	ffffff		14.0	97m	250.7	524.5	30.0	16.8
10	-1	1	UndeadReadyWindow					1	1								
11	10	2	Dimmer	515.5	290.0	1.000	1.000	0.50	1	000000				515.5	290.0	1031.1	580.0
12	10	2	btn_shadowed	515.5	435.0	1.024	1.024	1.00	1	ffffff	234x105			515.5	435.0	266.2	106.5
13	10	2	T:시작	516.6	437.0	1.024	1.024	1.00	1	ffffff		30.0	시작	516.6	437.0	60.8	36.9
14	-1	1	UndeadReviveWindow					1	1								
15	14	2	Dimmer	515.5	290.0	1.000	1.000	0.78	1	000000				515.5	290.0	1031.1	580.0
16	14	2	task_bg	515.5	290.0	1.000	1.000	1.00	1	ffffff	6x6			515.5	290.0	440.0	320.0
17	14	2	T:부활?	516.5	182.0	1.000	1.000	1.00	1	ffffff		28.0	부활?	516.5	182.0	69.6	33.6
18	14	2	T:8	517.8	256.0	1.000	1.000	1.00	1	ffd36a		65.0	8	517.8	256.0	38.4	78.0
19	14	2	reward_button_bg	515.5	344.0	1.000	1.000	1.00	1	facc15	34x34			515.5	344.0	230.0	58.0
20	14	2	T:부활	515.5	344.0	1.000	1.000	1.00	1	ffffff		20.0	부활	515.5	344.0	36.8	24.0
21	14	2	reward_button_bg	515.5	412.0	1.000	1.000	1.00	1	a53a3a	34x34			515.5	412.0	230.0	58.0
22	14	2	T:아니요	515.5	412.0	1.000	1.000	1.00	1	ffffff		20.0	아니요	515.5	412.0	55.2	24.0
23	-1	1	UndeadLevelUpWindow					0	0								
24	-1	1	world					1	1								
25	24	2	fire	1355.5	656.0	2.500	2.500	1.00	1	ffffff	24x24			1355.5	644.0	60.0	60.0
26	24	2	graveyard_evil_tree	239.5	284.0	1.208	1.236	1.00	1	ffffff	99x103			239.5	236.9	119.6	127.3
27	24	2	fire	-972.5	-736.0	2.500	2.500	1.00	1	ffffff	24x24			-972.5	-748.0	60.0	60.0
28	24	2	fire	59.5	1640.0	2.500	2.500	1.00	1	ffffff	24x24			59.5	1628.0	60.0	60.0
29	24	2	heart	2166.1	-54.3	0.579	0.801	0.37	1	ffffff	32x32			2166.1	-54.3	18.5	25.6
30	24	2	fire	251.5	416.0	2.500	2.500	1.00	1	ffffff	24x24			251.5	404.0	60.0	60.0
