t	scale
0	1.0961
7	1.0977
13	1.0998
20	1.1013
26	1.1033
34	1.1048
40	1.1067
45	1.1083
49	1.1094
55	1.1105
61	1.1119
66	1.1132
72	1.1143
78	1.1156
83	1.1166
90	1.1177
95	1.1189
100	1.1198
107	1.1208
112	1.1218
116	1.1226
123	1.1232
128	1.1241
133	1.1248
139	1.1254
144	1.1262
148	1.1267
155	1.1271
161	1.1277
166	1.1282
173	1.1286
178	1.1290
183	1.1292
190	1.1295
195	1.1297
199	1.1298
206	1.1299
211	1.1300
215	1.1300
222	1.1300
227	1.1299
232	1.1297
238	1.1295
243	1.1293
247	1.1290
253	1.1288
259	1.1284
263	1.1280
270	1.1276
276	1.1270
281	1.1263
287	1.1258
293	1.1251
298	1.1243
303	1.1236
309	1.1228
314	1.1220
320	1.1212
325	1.1202
330	1.1192
336	1.1183
341	1.1173
346	1.1161
352	1.1152
358	1.1139
362	1.1127
368	1.1116
374	1.1104
379	1.1090
384	1.1078
390	1.1066
395	1.1051
400	1.1037
406	1.1025
411	1.1007
416	1.0993
423	1.0980
428	1.0961
433	1.0946
440	1.0931
445	1.0911
450	1.0896
457	1.0881
462	1.0860
467	1.0845
473	1.0829
478	1.0809
483	1.0793
490	1.0777
495	1.0756
500	1.0740
506	1.0723
511	1.0702
516	1.0687
523	1.0670
528	1.0649
533	1.0632
539	1.0616
544	1.0597
549	1.0581
556	1.0563
561	1.0543
566	1.0527
573	1.0510
578	1.0488
583	1.0472
589	1.0456
595	1.0437
600	1.0420
606	1.0405
612	1.0386
617	1.0368
624	1.0353
628	1.0335
633	1.0322
640	1.0308
645	1.0291
650	1.0277
656	1.0263
661	1.0248
665	1.0235
672	1.0224
677	1.0207
682	1.0195
689	1.0184
694	1.0169
699	1.0159
705	1.0149
710	1.0136
716	1.0126
723	1.0116
729	1.0103
734	1.0093
740	1.0084
745	1.0074
750	1.0067
756	1.0061
761	1.0052
766	1.0046
773	1.0040
778	1.0033
784	1.0027
790	1.0023
796	1.0017
801	1.0014
807	1.0010
812	1.0007
817	1.0005
823	1.0003
828	1.0001
833	1.0001
840	1.0000
845	1.0000
850	1.0001
856	1.0002
861	1.0003
866	1.0005
873	1.0007
878	1.0011
883	1.0014
890	1.0018
895	1.0023
899	1.0027
905	1.0032
910	1.0038
916	1.0044
922	1.0050
927	1.0058
931	1.0065
936	1.0071
942	1.0079
948	1.0088
954	1.0098
959	1.0109
964	1.0119
969	1.0127
975	1.0138
980	1.0150
986	1.0160
992	1.0173
997	1.0187
1003	1.0198
1009	1.0213
1014	1.0226
1020	1.0240
1026	1.0255
1031	1.0270
1037	1.0283
1042	1.0300
1047	1.0315
1053	1.0329
1058	1.0344
1063	1.0360
1069	1.0374
1075	1.0392
1080	1.0408
1085	1.0425
1091	1.0441
1096	1.0458
1101	1.0473
1107	1.0489
1112	1.0508
1117	1.0526
1124	1.0542
1129	1.0562
1134	1.0579
1140	1.0595
1145	1.0614
1150	1.0632
1157	1.0648
1161	1.0669
1166	1.0685
1173	1.0700
1178	1.0723
1184	1.0739
1190	1.0756
1195	1.0776
1199	1.0792
1206	1.0807
1211	1.0826
1215	1.0842
1222	1.0856
1227	1.0876
1231	1.0891
1237	1.0905
1242	1.0921
1247	1.0936
1253	1.0951
1258	1.0968
1263	1.0982
1267	1.0995
1273	1.1008
1279	1.1024
1284	1.1038
1290	1.1052
1295	1.1067
1300	1.1079
1306	1.1091
1311	1.1105
1316	1.1117
1322	1.1127
1327	1.1140
1331	1.1151
1337	1.1160
1342	1.1171
1347	1.1182
1353	1.1191
1359	1.1201
1364	1.1211
1370	1.1219
1376	1.1227
1381	1.1236
1387	1.1243
1393	1.1251
1398	1.1258
1404	1.1263
1411	1.1270
1416	1.1276
1422	1.1280
1428	1.1285
1433	1.1289
1443	1.1292
1448	1.1296
1456	1.1298
1462	1.1299
1467	1.1300
1474	1.1300
1480	1.1299
1487	1.1298
1493	1.1296
1498	1.1293
1506	1.1291
1513	1.1286
1520	1.1281
1528	1.1275
1533	1.1268
1541	1.1262
1547	1.1253
1552	1.1246
1558	1.1239
1563	1.1231
1570	1.1223
1576	1.1213
1581	1.1203
1591	1.1193
1596	1.1176
1602	1.1165
1611	1.1154
1618	1.1134
1627	1.1120
1635	1.1098
1646	1.1079
1652	1.1052
1659	1.1035
1665	1.1016
1671	1.1002
1677	1.0983
1682	1.0969
1689	1.0954
1694	1.0934
1699	1.0919
1707	1.0903
1712	1.0880
1718	1.0863
1727	1.0847
1733	1.0817
1743	1.0799
1748	1.0768
1756	1.0749
1761	1.0724
1766	1.0707
1772	1.0692
1777	1.0672
1782	1.0656
1789	1.0640
1795	1.0617
1800	1.0599
1809	1.0582
1815	1.0552
1823	1.0533
1832	1.0510
1839	1.0479
1845	1.0457
1850	1.0441
1857	1.0425
1863	1.0402
1867	1.0386
1875	1.0372
1880	1.0350
1887	1.0335
1896	1.0317
1901	1.0293
1910	1.0278
1915	1.0253
1924	1.0241
1930	1.0220
1939	1.0204
1945	1.0185
1951	1.0170
1960	1.0157
1966	1.0138
1974	1.0128
1979	1.0113
1984	1.0104
1993	1.0094
1999	1.0080
2008	1.0071
2013	1.0059
2018	1.0052
2026	1.0045
2031	1.0037
2039	1.0031
2045	1.0024
2051	1.0019
2060	1.0015
2065	1.0009
2071	1.0007
2077	1.0004
2082	1.0002
2091	1.0001
2096	1.0000
2101	1.0000
2109	1.0000
2114	1.0002
2121	1.0004
2126	1.0006
2132	1.0009
2140	1.0012
2145	1.0017
2149	1.0022
2156	1.0026
2163	1.0032
2172	1.0039
2179	1.0049
2184	1.0059
2191	1.0066
2197	1.0076
2204	1.0085
2209	1.0096
2215	1.0106
2222	1.0116
2227	1.0129
2233	1.0140
2239	1.0152
2244	1.0165
2249	1.0176
2256	1.0187
2261	1.0203
2266	1.0215
2275	1.0228
2281	1.0252
2288	1.0266
2294	1.0284
2299	1.0300
2307	1.0314
2312	1.0337
2316	1.0351
2325	1.0364
2331	1.0388
2338	1.0407
2344	1.0430
2350	1.0448
2357	1.0465
2363	1.0489
2370	1.0508
2377	1.0529
2382	1.0553
2390	1.0568
2395	1.0593
2400	1.0610
2408	1.0627
2413	1.0651
2419	1.0668
2427	1.0687
2432	1.0712
2440	1.0729
2445	1.0756
2451	1.0773
2459	1.0790
2464	1.0816
2472	1.0832
2477	1.0856
2482	1.0872
2489	1.0886
2495	1.0907
2502	1.0926
2509	1.0947
2514	1.0966
2520	1.0981
2526	1.0997
2531	1.1013
2537	1.1026
2543	1.1041
2548	1.1057
2556	1.1071
2561	1.1089
2566	1.1102
2573	1.1113
2578	1.1130
2583	1.1140
2591	1.1150
2596	1.1166
2602	1.1176
2609	1.1188
2615	1.1200
2622	1.1209
2627	1.1220
2633	1.1229
2640	1.1237
2645	1.1247
2650	1.1253
2656	1.1259
2661	1.1265
2666	1.1271
2673	1.1275
2679	1.1281
2684	1.1285
2692	1.1289
2697	1.1293
2703	1.1295
2709	1.1297
2714	1.1299
2719	1.1300
2725	1.1300
2730	1.1300
2736	1.1299
2742	1.1298
2747	1.1297
2754	1.1295
2759	1.1292
2764	1.1289
2770	1.1285
2776	1.1281
2781	1.1276
2787	1.1272
2793	1.1265
2798	1.1259
2804	1.1253
2809	1.1245
2815	1.1239
2822	1.1231
2827	1.1220
2832	1.1211
2840	1.1203
2845	1.1189
2850	1.1180
2857	1.1170
2862	1.1157
2868	1.1146
2874	1.1134
2879	1.1120
2884	1.1109
2890	1.1098
2895	1.1083
2901	1.1069
2907	1.1056
2912	1.1039
2918	1.1026
2924	1.1012
2929	1.0994
2935	1.0981
2941	1.0965
2946	1.0947
2951	1.0933
2957	1.0918
2962	1.0899
2968	1.0883
2974	1.0867
2978	1.0848
2983	1.0834
2991	1.0818
2996	1.0796
