id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadLevelUpWindow					0	0								
1	-1	1	UndeadBattleHudWindow					1	1								
2	1	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
3	1	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
4	1	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
5	1	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
6	1	2	T:1	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	1	997.1	28.0	9.4	21.6
7	1	2	T:0/15	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/15	512.5	28.0	23.5	14.4
8	1	2	T:00:00	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:00	512.5	55.0	32.4	16.8
9	1	2	quest_pointer	515.5	290.0	1.000	1.000	1.00	0	ffffff	94x58			515.5	290.0	94.0	58.0
10	1	2	T:0m	481.1	339.4	1.000	1.000	1.00	0	ffffff		14.0	0m	481.1	339.4	2306556000.0	2306556000.0
11	-1	1	UndeadReadyWindow					1	1								
12	11	2	Dimmer	515.5	290.0	1.000	1.000	0.50	1	000000				515.5	290.0	1031.1	580.0
13	11	2	btn_shadowed	515.5	435.0	1.082	1.082	1.00	1	ffffff	234x105			515.5	435.0	281.2	112.5
14	11	2	T:시작	516.6	437.2	1.082	1.082	1.00	1	ffffff		30.0	시작	516.6	437.2	64.2	38.9
15	-1	1	world					1	1								
16	15	2	fire	-708.5	-1384.0	2.500	2.500	1.00	1	ffffff	24x24			-708.5	-1396.0	60.0	60.0
17	15	2	heart	-162.9	837.6	0.629	0.871	0.49	1	ffffff	32x32			-162.9	837.6	20.1	27.9
18	15	2	fire	299.5	-136.0	2.500	2.500	1.00	1	ffffff	24x24			299.5	-148.0	60.0	60.0
19	15	2	fire	587.5	-1600.0	2.500	2.500	1.00	1	ffffff	24x24			587.5	-1612.0	60.0	60.0
20	15	2	fire	923.5	1280.0	2.500	2.500	1.00	1	ffffff	24x24			923.5	1268.0	60.0	60.0
21	15	2	heart	-984.4	-793.5	0.644	0.892	0.39	1	ffffff	32x32			-984.4	-793.5	20.6	28.5
22	15	2	fire	-156.5	896.0	2.500	2.500	1.00	1	ffffff	24x24			-156.5	884.0	60.0	60.0
23	15	2	heart	1357.6	592.5	0.595	0.824	0.50	1	ffffff	32x32			1357.6	592.5	19.0	26.4
24	15	2	fire	2267.5	-1024.0	2.500	2.500	1.00	1	ffffff	24x24			2267.5	-1036.0	60.0	60.0
25	15	2	heart	56.3	1590.5	0.541	0.749	0.49	1	ffffff	32x32			56.3	1590.5	17.3	24.0
26	15	2	fire	1355.5	656.0	2.500	2.500	1.00	1	ffffff	24x24			1355.5	644.0	60.0	60.0
27	15	2	heart	1663.3	-160.8	0.588	0.815	0.45	1	ffffff	32x32			1663.3	-160.8	18.8	26.1
28	15	2	heart	1213.5	-760.3	0.605	0.838	0.37	1	ffffff	32x32			1213.5	-760.3	19.4	26.8
29	15	2	graveyard_evil_tree	239.5	284.0	1.208	1.236	1.00	1	ffffff	99x103			239.5	236.9	119.6	127.3
30	15	2	heart	1242.5	1616.8	0.630	0.872	0.39	1	ffffff	32x32			1242.5	1616.8	20.2	27.9
31	15	2	fire	1019.5	-448.0	2.500	2.500	1.00	1	ffffff	24x24			1019.5	-460.0	60.0	60.0
32	15	2	fire	2171.5	8.0	2.500	2.500	1.00	1	ffffff	24x24			2171.5	-4.0	60.0	60.0
33	15	2	fire	59.5	1640.0	2.500	2.500	1.00	1	ffffff	24x24			59.5	1628.0	60.0	60.0
34	15	2	heart	761.8	-1081.3	0.631	0.874	0.41	1	ffffff	32x32			761.8	-1081.3	20.2	28.0
35	15	2	heart	246.8	355.7	0.649	0.898	0.42	1	ffffff	32x32			246.8	355.7	20.8	28.7
36	15	2	graveyard_evil_tree	-168.5	-1084.0	1.200	1.200	1.00	1	ffffff	99x103			-168.5	-1129.7	118.8	123.6
37	15	2	heart	-1589.8	1613.3	0.635	0.879	0.43	1	ffffff	32x32			-1589.8	1613.3	20.3	28.1
38	15	2	fire	1667.5	-112.0	2.500	2.500	1.00	1	ffffff	24x24			1667.5	-124.0	60.0	60.0
39	15	2	heart	2257.1	-1103.3	0.628	0.870	0.02	1	ffffff	32x32			2257.1	-1103.3	20.1	27.8
40	15	2	heart	2270.9	-1077.3	0.668	0.925	0.39	1	ffffff	32x32			2270.9	-1077.3	21.4	29.6
41	15	2	heart	2165.4	-49.1	0.618	0.856	0.48	1	ffffff	32x32			2165.4	-49.1	19.8	27.4
42	15	2	heart	294.2	-197.0	0.640	0.886	0.46	1	ffffff	32x32			294.2	-197.0	20.5	28.3
43	15	2	graveyard_evil_tree	-1008.5	-1204.0	1.208	1.237	1.00	1	ffffff	99x103			-1008.5	-1251.1	119.6	127.4
44	15	2	hero	515.5	310.0	3.000	3.000	1.00	1	ffffff	16x16			515.5	286.0	48.0	48.0
45	15	2	heart	1216.9	-785.0	0.694	0.961	0.03	1	ffffff	32x32			1216.9	-785.0	22.2	30.8
46	15	2	heart	1244.1	1579.6	0.568	0.787	0.05	1	ffffff	32x32			1244.1	1579.6	18.2	25.2
47	15	2	heart	1029.7	-501.1	0.603	0.835	0.42	1	ffffff	32x32			1029.7	-501.1	19.3	26.7
48	15	2	graveyard_evil_tree	2015.5	-1396.0	1.199	1.198	1.00	1	ffffff	99x103			2015.5	-1441.6	118.7	123.3
49	15	2	heart	55.1	1583.3	0.637	0.882	0.04	1	ffffff	32x32			55.1	1583.3	20.4	28.2
50	15	2	fire	-972.5	-736.0	2.500	2.500	1.00	1	ffffff	24x24			-972.5	-748.0	60.0	60.0
