id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadLevelUpWindow					0	0								
1	-1	1	UndeadBattleHudWindow					1	1								
2	1	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
3	1	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
4	1	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
5	1	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
6	1	2	T:1	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	1	997.1	28.0	9.4	21.6
7	1	2	T:0/15	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/15	512.5	28.0	23.5	14.4
8	1	2	T:00:03	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:03	512.5	55.0	32.4	16.8
9	1	2	quest_pointer	272.9	535.8	1.000	1.000	1.00	1	ffffff	94x58			272.9	535.8	107.3	107.6
10	1	2	T:88m	280.4	528.7	1.000	1.000	1.00	1	ffffff		14.0	88m	280.4	528.7	30.0	16.8
11	-1	1	UndeadReadyWindow					0	0								
12	-1	1	world					1	1								
13	12	2	T:-2	647.9	-9.3	1.000	1.000	0.78	1	78c8fa			-2	647.9	-9.3	12.5	17.8
14	12	2	T:도와줘!	-984.5	1752.0	1.000	1.000	1.00	1	000000			도와줘!	-984.5	1752.0	25.5	10.1
15	12	2	fire	-708.5	-1384.0	2.500	2.500	1.00	1	ffffff	24x24			-708.5	-1396.0	60.0	60.0
16	12	2	heart	-163.0	838.5	0.610	0.845	0.61	1	ffffff	32x32			-163.0	838.5	19.5	27.0
17	12	2	fire	299.5	-136.0	2.500	2.500	1.00	1	ffffff	24x24			299.5	-148.0	60.0	60.0
18	12	2	heart	-1597.8	1602.7	0.610	0.845	0.12	1	ffffff	32x32			-1597.8	1602.7	19.5	27.0
19	12	2	fire	587.5	-1600.0	2.500	2.500	1.00	1	ffffff	24x24			587.5	-1612.0	60.0	60.0
20	12	2	fire	923.5	1280.0	2.500	2.500	1.00	1	ffffff	24x24			923.5	1268.0	60.0	60.0
21	12	2	heart	-969.5	-781.9	0.658	0.911	0.60	1	ffffff	32x32			-969.5	-781.9	21.1	29.2
22	12	2	fire	-156.5	896.0	2.500	2.500	1.00	1	ffffff	24x24			-156.5	884.0	60.0	60.0
23	12	2	heart	1348.2	602.2	0.639	0.884	0.62	1	ffffff	32x32			1348.2	602.2	20.4	28.3
24	12	2	enemy1	659.4	38.8	-3.000	3.000	1.00	1	ffffff	16x17			659.4	13.3	48.0	51.0
25	12	2	fire	2267.5	-1024.0	2.500	2.500	1.00	1	ffffff	24x24			2267.5	-1036.0	60.0	60.0
26	12	2	heart	55.1	1596.9	0.595	0.824	0.64	1	ffffff	32x32			55.1	1596.9	19.0	26.4
27	12	2	gem	1009.6	195.1	2.000	2.000	1.00	1	ffffff	16x16			1009.6	179.1	32.0	32.0
28	12	2	fire	1355.5	656.0	2.500	2.500	1.00	1	ffffff	24x24			1355.5	644.0	60.0	60.0
29	12	2	heart	1670.5	-163.7	0.555	0.768	0.62	1	ffffff	32x32			1670.5	-163.7	17.8	24.6
30	12	2	heart	1008.5	-517.0	0.599	0.829	0.21	1	ffffff	32x32			1008.5	-517.0	19.2	26.5
31	12	2	heart	1209.6	-765.1	0.556	0.770	0.62	1	ffffff	32x32			1209.6	-765.1	17.8	24.7
32	12	2	graveyard_evil_tree	239.5	284.0	1.191	1.160	1.00	1	ffffff	99x103			239.5	239.8	117.9	119.4
33	12	2	enemy1	57.3	332.2	3.000	3.000	1.00	1	ffffff	16x17			57.3	306.7	48.0	51.0
34	12	2	heart	1231.0	1618.3	0.609	0.843	0.64	1	ffffff	32x32			1231.0	1618.3	19.5	27.0
35	12	2	heart	2176.8	-62.8	0.621	0.860	0.09	1	ffffff	32x32			2176.8	-62.8	19.9	27.5
36	12	2	fire	1019.5	-448.0	2.500	2.500	1.00	1	ffffff	24x24			1019.5	-460.0	60.0	60.0
37	12	2	fire	2171.5	8.0	2.500	2.500	1.00	1	ffffff	24x24			2171.5	-4.0	60.0	60.0
38	12	2	fire	59.5	1640.0	2.500	2.500	1.00	1	ffffff	24x24			59.5	1628.0	60.0	60.0
39	12	2	projectile1	1168.1	95.3	1.200	1.200	1.00	1	ffffff	36x16			1168.1	95.3	46.9	30.8
40	12	2	heart	1239.6	1605.9	0.670	0.928	0.22	1	ffffff	32x32			1239.6	1605.9	21.4	29.7
41	12	2	heart	753.0	-1075.4	0.598	0.828	0.59	1	ffffff	32x32			753.0	-1075.4	19.1	26.5
42	12	2	warrior_lay	-984.5	1810.0	1.000	1.000	1.00	1	ffffff	48x48			-984.5	1786.0	48.0	48.0
43	12	2	heart	254.8	368.0	0.571	0.790	0.61	1	ffffff	32x32			254.8	368.0	18.3	25.3
44	12	2	graveyard_evil_tree	-168.5	-1084.0	1.208	1.239	1.00	1	ffffff	99x103			-168.5	-1131.2	119.6	127.6
45	12	2	heart	-161.8	839.6	0.689	0.954	0.14	1	ffffff	32x32			-161.8	839.6	22.0	30.5
46	12	2	heart	-1590.9	1613.4	0.540	0.747	0.59	1	ffffff	32x32			-1590.9	1613.4	17.3	23.9
47	12	2	heart	1344.7	582.6	0.640	0.886	0.09	1	ffffff	32x32			1344.7	582.6	20.5	28.3
48	12	2	fire	1667.5	-112.0	2.500	2.500	1.00	1	ffffff	24x24			1667.5	-124.0	60.0	60.0
49	12	2	heart	-967.9	-792.5	0.570	0.789	0.16	1	ffffff	32x32			-967.9	-792.5	18.2	25.3
50	12	2	heart	2267.1	-1079.8	0.553	0.765	0.64	1	ffffff	32x32			2267.1	-1079.8	17.7	24.5
