id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadLevelUpWindow					1	1								
1	0	2	Dimmer	515.5	290.0	1.000	1.000	0.70	1	000000				515.5	290.0	1031.1	580.0
2	0	2	T:레벨 업!	515.5	68.0	1.000	1.000	1.00	1	ffffff		24.0	레벨 업!	515.5	68.0	78.1	28.8
3	0	2	reward_button_bg	515.5	148.0	1.000	1.000	0.90	1	34d399	34x34			515.5	148.0	420.0	92.0
4	0	2	icon_hero_movespeed	345.5	148.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	148.0	54.0	54.0
5	0	2	T:영웅	412.1	136.0	1.000	1.000	1.00	1	ffffff		18.0	영웅	412.1	136.0	33.1	21.6
6	0	2	T:이동 속도 +15%	441.4	161.0	1.000	1.000	1.00	1	ffffff		14.0	이동 속도 +15%	441.4	161.0	91.9	16.8
7	0	2	reward_button_bg	515.5	255.0	1.000	1.000	0.90	1	f59e0b	34x34			515.5	255.0	420.0	92.0
8	0	2	icon_bullets_firerate	345.5	255.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	255.0	54.0	54.0
9	0	2	T:총알	412.1	243.0	1.000	1.000	1.00	1	ffffff		18.0	총알	412.1	243.0	33.1	21.6
10	0	2	T:발사 속도 +30%	441.4	268.0	1.000	1.000	1.00	1	ffffff		14.0	발사 속도 +30%	441.4	268.0	91.9	16.8
11	0	2	reward_button_bg	515.5	362.0	1.000	1.000	0.90	1	a3e635	34x34			515.5	362.0	420.0	92.0
12	0	2	icon_hero_collectradius	345.5	362.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	362.0	54.0	54.0
13	0	2	T:영웅	412.1	350.0	1.000	1.000	1.00	1	ffffff		18.0	영웅	412.1	350.0	33.1	21.6
14	0	2	T:수집 범위 +30%	441.4	375.0	1.000	1.000	1.00	1	ffffff		14.0	수집 범위 +30%	441.4	375.0	91.9	16.8
15	0	2	reward_button_bg	515.5	497.0	1.000	1.000	1.00	0	ffffff	34x34			515.5	497.0	210.0	58.0
16	0	2	T:선택	481.1	580.0	1.000	1.000	1.00	0	ffffff		20.0	선택	481.1	580.0	2306556000.0	2306556000.0
17	-1	1	UndeadBattleHudWindow					1	1								
18	17	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
19	17	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
20	17	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
21	17	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
22	17	2	T:2	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	2	997.1	28.0	9.4	21.6
23	17	2	T:0/40	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/40	512.5	28.0	23.5	14.4
24	17	2	T:00:12	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:12	512.5	55.0	32.4	16.8
25	17	2	quest_pointer	283.9	535.8	1.000	1.000	1.00	0	ffffff	94x58			283.9	535.8	106.7	108.2
26	17	2	T:96m	291.2	528.5	1.000	1.000	1.00	0	ffffff		14.0	96m	291.2	528.5	30.0	16.8
27	-1	1	UndeadReadyWindow					0	0								
28	-1	1	world					1	1								
29	28	2	T:+3 XP	537.1	308.6	1.184	1.184	1.00	1	00ff00			+3 XP	537.1	308.6	45.7	21.3
30	28	2	T:-2	574.1	411.8	1.000	1.000	1.00	1	78c8fa			-2	574.1	411.8	12.5	17.8
31	28	2	T:도와줘!	-1070.9	1914.4	1.000	1.000	1.00	1	000000			도와줘!	-1070.9	1914.4	25.5	10.1
32	28	2	fire	-794.9	-1221.6	2.500	2.500	1.00	1	ffffff	24x24			-794.9	-1233.6	60.0	60.0
33	28	2	heart	-242.4	1016.7	0.636	0.881	0.68	1	ffffff	32x32			-242.4	1016.7	20.4	28.2
34	28	2	enemy1	579.2	107.7	-3.000	3.000	1.00	1	ffffff	16x17			579.2	82.2	48.0	51.0
35	28	2	fire	213.1	26.4	2.500	2.500	1.00	1	ffffff	24x24			213.1	14.4	60.0	60.0
36	28	2	heart	-1685.1	1771.0	0.616	0.853	0.29	1	ffffff	32x32			-1685.1	1771.0	19.7	27.3
37	28	2	fire	501.1	-1437.6	2.500	2.500	1.00	1	ffffff	24x24			501.1	-1449.6	60.0	60.0
38	28	2	fire	837.1	1442.4	2.500	2.500	1.00	1	ffffff	24x24			837.1	1430.4	60.0	60.0
39	28	2	heart	-1063.8	-614.7	0.568	0.787	0.70	1	ffffff	32x32			-1063.8	-614.7	18.2	25.2
40	28	2	fire	-242.9	1058.4	2.500	2.500	1.00	1	ffffff	24x24			-242.9	1046.4	60.0	60.0
41	28	2	heart	1269.0	766.2	0.581	0.805	0.69	1	ffffff	32x32			1269.0	766.2	18.6	25.8
42	28	2	enemy1	148.6	434.2	3.000	3.000	1.00	1	ffffff	16x17			148.6	408.7	48.0	51.0
43	28	2	fire	2181.1	-861.6	2.500	2.500	1.00	1	ffffff	24x24			2181.1	-873.6	60.0	60.0
44	28	2	enemy1	627.7	230.9	-3.000	3.000	1.00	1	ffffff	16x17			627.7	205.4	48.0	51.0
45	28	2	heart	-31.8	1761.5	0.656	0.908	0.71	1	ffffff	32x32			-31.8	1761.5	21.0	29.0
46	28	2	gem	923.3	357.4	2.000	2.000	1.00	1	ffffff	16x16			923.3	341.4	32.0	32.0
47	28	2	fire	1269.1	818.4	2.500	2.500	1.00	1	ffffff	24x24			1269.1	806.4	60.0	60.0
48	28	2	heart	1583.4	8.8	0.558	0.772	0.68	1	ffffff	32x32			1583.4	8.8	17.9	24.7
49	28	2	heart	936.6	-351.6	0.606	0.840	0.20	1	ffffff	32x32			936.6	-351.6	19.4	26.9
50	28	2	heart	1128.8	-599.8	0.537	0.744	0.69	1	ffffff	32x32			1128.8	-599.8	17.2	23.8
51	28	2	graveyard_evil_tree	153.1	446.4	1.211	1.251	1.00	1	ffffff	99x103			153.1	398.7	119.9	128.9
52	28	2	enemy1	882.0	314.8	-3.000	3.000	1.00	1	ffffff	16x17			882.0	289.3	48.0	51.0
53	28	2	heart	1150.3	1781.5	0.544	0.753	0.69	1	ffffff	32x32			1150.3	1781.5	17.4	24.1
54	28	2	heart	2074.3	111.4	0.568	0.786	0.13	1	ffffff	32x32			2074.3	111.4	18.2	25.2
55	28	2	fire	933.1	-285.6	2.500	2.500	1.00	1	ffffff	24x24			933.1	-297.6	60.0	60.0
56	28	2	fire	2085.1	170.4	2.500	2.500	1.00	1	ffffff	24x24			2085.1	158.4	60.0	60.0
57	28	2	fire	-26.9	1802.4	2.500	2.500	1.00	1	ffffff	24x24			-26.9	1790.4	60.0	60.0
58	28	2	heart	1157.4	1752.9	0.570	0.789	0.09	1	ffffff	32x32			1157.4	1752.9	18.2	25.3
59	28	2	heart	678.0	-907.9	0.649	0.898	0.70	1	ffffff	32x32			678.0	-907.9	20.8	28.7
60	28	2	warrior_lay	-1070.9	1972.4	1.000	1.000	1.00	1	ffffff	48x48			-1070.9	1948.4	48.0	48.0
61	28	2	heart	166.0	529.0	0.547	0.758	0.69	1	ffffff	32x32			166.0	529.0	17.5	24.3
62	28	2	graveyard_evil_tree	-254.9	-921.6	1.194	1.177	1.00	1	ffffff	99x103			-254.9	-966.5	118.2	121.2
63	28	2	gem	199.2	513.5	2.000	2.000	1.00	1	ffffff	16x16			199.2	497.5	32.0	32.0
64	28	2	heart	-243.5	987.8	0.598	0.828	0.15	1	ffffff	32x32			-243.5	987.8	19.1	26.5
65	28	2	heart	-1679.7	1783.6	0.557	0.771	0.71	1	ffffff	32x32			-1679.7	1783.6	17.8	24.7
66	28	2	gem	291.8	248.9	2.000	2.000	1.00	1	ffffff	16x16			291.8	232.9	32.0	32.0
67	28	2	enemy1	279.0	703.4	3.000	3.000	1.00	1	ffffff	16x17			279.0	677.9	48.0	51.0
68	28	2	enemy1	4.5	586.8	3.000	3.000	1.00	1	ffffff	16x17			4.5	561.3	48.0	51.0
69	28	2	heart	1274.9	754.9	0.674	0.934	0.27	1	ffffff	32x32			1274.9	754.9	21.6	29.9
