id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadLevelUpWindow					1	1								
1	0	2	Dimmer	515.5	290.0	1.000	1.000	0.70	1	000000				515.5	290.0	1031.1	580.0
2	0	2	T:레벨 업!	515.5	68.0	1.000	1.000	1.00	1	ffffff		24.0	레벨 업!	515.5	68.0	78.1	28.8
3	0	2	reward_button_bg	515.5	148.0	1.080	1.080	1.00	1	34d399	34x34			515.5	148.0	453.6	99.4
4	0	2	icon_hero_movespeed	331.9	148.0	1.080	1.080	1.00	1	ffffff	32x32			331.9	148.0	58.3	58.3
5	0	2	T:영웅	403.8	135.0	1.080	1.080	1.00	1	ffffff		18.0	영웅	403.8	135.0	35.8	23.3
6	0	2	T:이동 속도 +15%	435.5	162.0	1.080	1.080	1.00	1	ffffff		14.0	이동 속도 +15%	435.5	162.0	99.2	18.1
7	0	2	reward_button_bg	515.5	255.0	1.000	1.000	0.90	1	f59e0b	34x34			515.5	255.0	420.0	92.0
8	0	2	icon_bullets_firerate	345.5	255.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	255.0	54.0	54.0
9	0	2	T:총알	412.1	243.0	1.000	1.000	1.00	1	ffffff		18.0	총알	412.1	243.0	33.1	21.6
10	0	2	T:발사 속도 +30%	441.4	268.0	1.000	1.000	1.00	1	ffffff		14.0	발사 속도 +30%	441.4	268.0	91.9	16.8
11	0	2	reward_button_bg	515.5	362.0	1.000	1.000	0.90	1	a3e635	34x34			515.5	362.0	420.0	92.0
12	0	2	icon_hero_collectradius	345.5	362.0	1.000	1.000	1.00	1	ffffff	32x32			345.5	362.0	54.0	54.0
13	0	2	T:영웅	412.1	350.0	1.000	1.000	1.00	1	ffffff		18.0	영웅	412.1	350.0	33.1	21.6
14	0	2	T:수집 범위 +30%	441.4	375.0	1.000	1.000	1.00	1	ffffff		14.0	수집 범위 +30%	441.4	375.0	91.9	16.8
15	0	2	reward_button_bg	515.5	497.0	0.975	0.975	1.00	1	ffffff	34x34			515.5	497.0	204.8	56.6
16	0	2	T:선택	515.5	497.0	0.975	0.975	1.00	1	ffffff		20.0	선택	515.5	497.0	35.9	23.4
17	-1	1	UndeadBattleHudWindow					1	1								
18	17	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
19	17	2	bar	34.9	27.0	1.000	1.000	1.00	0	ffffff	16x16			34.9	27.0	0.0	18.0
20	17	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
21	17	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
22	17	2	T:2	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	2	997.1	28.0	9.4	21.6
23	17	2	T:0/40	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	0/40	512.5	28.0	23.5	14.4
24	17	2	T:00:12	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:12	512.5	55.0	32.4	16.8
25	17	2	quest_pointer	283.9	535.8	1.000	1.000	1.00	0	ffffff	94x58			283.9	535.8	106.7	108.2
26	17	2	T:96m	291.2	528.5	1.000	1.000	1.00	0	ffffff		14.0	96m	291.2	528.5	30.0	16.8
27	-1	1	UndeadReadyWindow					0	0								
28	-1	1	world					1	1								
29	28	2	T:도와줘!	-1070.9	1914.4	1.000	1.000	1.00	1	000000			도와줘!	-1070.9	1914.4	25.5	10.1
30	28	2	fire	-794.9	-1221.6	2.500	2.500	1.00	1	ffffff	24x24			-794.9	-1233.6	60.0	60.0
31	28	2	heart	-242.2	1003.2	0.663	0.918	0.26	1	ffffff	32x32			-242.2	1003.2	21.2	29.4
32	28	2	enemy1	579.2	107.7	-3.000	3.000	1.00	1	ffffff	16x17			579.2	82.2	48.0	51.0
33	28	2	fire	213.1	26.4	2.500	2.500	1.00	1	ffffff	24x24			213.1	14.4	60.0	60.0
34	28	2	fire	501.1	-1437.6	2.500	2.500	1.00	1	ffffff	24x24			501.1	-1449.6	60.0	60.0
35	28	2	fire	837.1	1442.4	2.500	2.500	1.00	1	ffffff	24x24			837.1	1430.4	60.0	60.0
36	28	2	heart	-1064.6	-626.4	0.589	0.816	0.32	1	ffffff	32x32			-1064.6	-626.4	18.9	26.1
37	28	2	fire	-242.9	1058.4	2.500	2.500	1.00	1	ffffff	24x24			-242.9	1046.4	60.0	60.0
38	28	2	heart	1268.9	758.7	0.605	0.838	0.27	1	ffffff	32x32			1268.9	758.7	19.4	26.8
39	28	2	enemy1	148.6	434.2	3.000	3.000	1.00	1	ffffff	16x17			148.6	408.7	48.0	51.0
40	28	2	fire	2181.1	-861.6	2.500	2.500	1.00	1	ffffff	24x24			2181.1	-873.6	60.0	60.0
41	28	2	enemy1	627.7	230.9	-3.000	3.000	1.00	1	ffffff	16x17			627.7	205.4	48.0	51.0
42	28	2	heart	-33.4	1749.4	0.678	0.938	0.37	1	ffffff	32x32			-33.4	1749.4	21.7	30.0
43	28	2	gem	923.3	357.4	2.000	2.000	1.00	1	ffffff	16x16			923.3	341.4	32.0	32.0
44	28	2	fire	1269.1	818.4	2.500	2.500	1.00	1	ffffff	24x24			1269.1	806.4	60.0	60.0
45	28	2	heart	1584.2	-1.3	0.581	0.805	0.26	1	ffffff	32x32			1584.2	-1.3	18.6	25.8
46	28	2	heart	1129.9	-606.2	0.559	0.773	0.29	1	ffffff	32x32			1129.9	-606.2	17.9	24.8
47	28	2	graveyard_evil_tree	153.1	446.4	1.211	1.251	1.00	1	ffffff	99x103			153.1	398.7	119.9	128.9
48	28	2	enemy1	882.0	314.8	-3.000	3.000	1.00	1	ffffff	16x17			882.0	289.3	48.0	51.0
49	28	2	heart	1150.6	1774.4	0.565	0.782	0.31	1	ffffff	32x32			1150.6	1774.4	18.1	25.0
50	28	2	fire	933.1	-285.6	2.500	2.500	1.00	1	ffffff	24x24			933.1	-297.6	60.0	60.0
51	28	2	fire	2085.1	170.4	2.500	2.500	1.00	1	ffffff	24x24			2085.1	158.4	60.0	60.0
52	28	2	fire	-26.9	1802.4	2.500	2.500	1.00	1	ffffff	24x24			-26.9	1790.4	60.0	60.0
53	28	2	heart	680.3	-919.2	0.671	0.930	0.35	1	ffffff	32x32			680.3	-919.2	21.5	29.7
54	28	2	warrior_lay	-1070.9	1972.4	1.000	1.000	1.00	1	ffffff	48x48			-1070.9	1948.4	48.0	48.0
55	28	2	heart	166.2	521.4	0.569	0.788	0.29	1	ffffff	32x32			166.2	521.4	18.2	25.2
56	28	2	graveyard_evil_tree	-254.9	-921.6	1.194	1.177	1.00	1	ffffff	99x103			-254.9	-966.5	118.2	121.2
57	28	2	gem	199.2	513.5	2.000	2.000	1.00	1	ffffff	16x16			199.2	497.5	32.0	32.0
58	28	2	heart	-1678.4	1772.5	0.576	0.798	0.36	1	ffffff	32x32			-1678.4	1772.5	18.4	25.5
59	28	2	gem	291.8	248.9	2.000	2.000	1.00	1	ffffff	16x16			291.8	232.9	32.0	32.0
60	28	2	enemy1	279.0	703.4	3.000	3.000	1.00	1	ffffff	16x17			279.0	677.9	48.0	51.0
61	28	2	enemy1	4.5	586.8	3.000	3.000	1.00	1	ffffff	16x17			4.5	561.3	48.0	51.0
62	28	2	fire	1581.1	50.4	2.500	2.500	1.00	1	ffffff	24x24			1581.1	38.4	60.0	60.0
63	28	2	heart	2193.4	-907.9	0.543	0.751	0.40	1	ffffff	32x32			2193.4	-907.9	17.4	24.0
64	28	2	heart	2086.6	117.3	0.586	0.811	0.31	1	ffffff	32x32			2086.6	117.3	18.7	25.9
65	28	2	heart	215.3	-31.8	0.658	0.911	0.37	1	ffffff	32x32			215.3	-31.8	21.0	29.1
66	28	2	gem	655.2	530.1	2.000	2.000	1.00	1	ffffff	16x16			655.2	514.1	32.0	32.0
67	28	2	graveyard_evil_tree	-1094.9	-1041.6	1.203	1.214	1.00	1	ffffff	99x103			-1094.9	-1087.9	119.1	125.1
68	28	2	hero	536.9	309.1	3.000	3.000	1.00	1	ffffff	16x16			536.9	285.1	48.0	48.0
69	28	2	enemy1	333.1	274.6	3.000	3.000	1.00	1	ffffff	16x17			333.1	249.1	48.0	51.0
