id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadReviveWindow					1	1								
1	0	2	Dimmer	515.5	290.0	1.000	1.000	0.78	1	000000				515.5	290.0	1031.1	580.0
2	0	2	task_bg	515.5	290.0	1.000	1.000	1.00	1	ffffff	6x6			515.5	290.0	440.0	320.0
3	0	2	T:부활?	516.5	182.0	1.000	1.000	1.00	1	ffffff		28.0	부활?	516.5	182.0	69.6	33.6
4	0	2	T:8	517.8	256.0	1.000	1.000	1.00	1	ffd36a		65.0	8	517.8	256.0	38.4	78.0
5	0	2	reward_button_bg	515.5	344.0	1.000	1.000	1.00	1	facc15	34x34			515.5	344.0	230.0	58.0
6	0	2	T:부활	515.5	344.0	1.000	1.000	1.00	1	ffffff		20.0	부활	515.5	344.0	36.8	24.0
7	0	2	reward_button_bg	515.5	412.0	1.000	1.000	1.00	1	a53a3a	34x34			515.5	412.0	230.0	58.0
8	0	2	T:아니요	515.5	412.0	1.000	1.000	1.00	1	ffffff		20.0	아니요	515.5	412.0	55.2	24.0
9	-1	1	UndeadLevelUpWindow					0	0								
10	-1	1	UndeadBattleHudWindow					1	1								
11	10	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
12	10	2	bar	461.2	27.0	1.000	1.000	1.00	1	ffffff	16x16			461.2	27.0	852.5	18.0
13	10	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
14	10	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
15	10	2	T:3	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	3	997.1	28.0	9.4	21.6
16	10	2	T:107/120	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	107/120	512.5	28.0	42.3	14.4
17	10	2	T:00:42	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:42	512.5	55.0	32.4	16.8
18	10	2	quest_pointer	320.5	537.0	1.000	1.000	1.00	1	ffffff	94x58			320.5	537.0	103.8	109.7
19	10	2	T:95m	327.2	529.2	1.000	1.000	1.00	1	ffffff		14.0	95m	327.2	529.2	30.0	16.8
20	-1	1	UndeadReadyWindow					0	0								
21	-1	1	world					1	1								
22	21	2	T:도와줘!	-904.7	2030.9	1.000	1.000	1.00	1	000000			도와줘!	-904.7	2030.9	25.5	10.1
23	21	2	fire	-628.7	-1105.1	2.500	2.500	1.00	1	ffffff	24x24			-628.7	-1117.1	60.0	60.0
24	21	2	enemy1	510.7	308.8	3.000	3.000	1.00	1	ffffff	16x17			510.7	283.3	48.0	51.0
25	21	2	heart	-1514.2	1871.3	0.689	0.955	0.10	1	ffffff	32x32			-1514.2	1871.3	22.1	30.5
26	21	2	enemy1	248.2	518.9	3.000	3.000	1.00	1	ffffff	16x17			248.2	493.4	48.0	51.0
