id	parent	depth	name	x	y	sx	sy	alpha	visible	tint	frame	font	text	cx	cy	w	h
0	-1	1	UndeadReviveWindow					0	0								
1	-1	1	UndeadLevelUpWindow					0	0								
2	-1	1	UndeadBattleHudWindow					1	1								
3	2	2	skill_bg	512.5	27.0	1.000	1.000	1.00	1	ffffff	6x6			512.5	27.0	957.1	20.0
4	2	2	bar	461.2	27.0	1.000	1.000	1.00	1	ffffff	16x16			461.2	27.0	852.5	18.0
5	2	2	gem_icon	34.9	27.0	1.000	1.000	1.00	1	ffffff	16x16			34.9	27.0	60.0	60.0
6	2	2	lvl_bg	995.1	27.0	1.000	1.000	1.00	1	ffffff	16x16			995.1	27.0	72.0	72.0
7	2	2	T:3	997.1	28.0	1.000	1.000	1.00	1	000000		18.0	3	997.1	28.0	9.4	21.6
8	2	2	T:107/120	512.5	28.0	1.000	1.000	1.00	1	ffffff		12.0	107/120	512.5	28.0	42.3	14.4
9	2	2	T:00:42	512.5	55.0	1.000	1.000	1.00	1	ffffff		14.0	00:42	512.5	55.0	32.4	16.8
10	2	2	quest_pointer	320.6	536.8	1.000	1.000	1.00	1	ffffff	94x58			320.6	536.8	103.8	109.7
11	2	2	T:95m	327.3	529.0	1.000	1.000	1.00	1	ffffff		14.0	95m	327.3	529.0	30.0	16.8
12	-1	1	UndeadReadyWindow					0	0								
13	-1	1	world					1	1								
14	13	2	T:도와줘!	-904.7	2030.9	1.000	1.000	1.00	1	000000			도와줘!	-904.7	2030.9	25.5	10.1
15	13	2	gem	575.0	326.4	2.000	2.000	1.00	1	ffffff	16x16			575.0	310.4	32.0	32.0
16	13	2	gem	26.2	426.0	2.000	2.000	1.00	1	ffffff	16x16			26.2	410.0	32.0	32.0
17	13	2	fire	379.3	142.9	2.500	2.500	1.00	1	ffffff	24x24			379.3	130.9	60.0	60.0
18	13	2	heart	131.7	1848.9	0.663	0.918	0.14	1	ffffff	32x32			131.7	1848.9	21.2	29.4
19	13	2	fire	1003.3	1558.9	2.500	2.500	1.00	1	ffffff	24x24			1003.3	1546.9	60.0	60.0
20	13	2	fire	-76.7	1174.9	2.500	2.500	1.00	1	ffffff	24x24			-76.7	1162.9	60.0	60.0
21	13	2	gem	362.4	409.3	2.000	2.000	1.00	1	ffffff	16x16			362.4	393.3	32.0	32.0
22	13	2	heart	-80.2	1109.6	0.646	0.894	0.18	1	ffffff	32x32			-80.2	1109.6	20.7	28.6
23	13	2	gem	602.8	347.6	2.000	2.000	1.00	1	ffffff	16x16			602.8	331.6	32.0	32.0
24	13	2	graveyard_evil_tree	319.3	562.9	1.190	1.159	1.00	1	ffffff	99x103			319.3	518.7	117.9	119.4
25	13	2	enemy1	265.9	386.6	3.000	3.000	1.00	1	ffffff	16x17			265.9	361.1	48.0	51.0
26	13	2	heart	-889.3	-509.6	0.648	0.897	0.59	1	ffffff	32x32			-889.3	-509.6	20.7	28.7
27	13	2	heart	1007.1	1503.3	0.578	0.801	0.56	1	ffffff	32x32			1007.1	1503.3	18.5	25.6
28	13	2	gem	510.7	308.8	2.000	2.000	1.00	1	ffffff	16x16			510.7	292.8	32.0	32.0
29	13	2	heart	831.2	-822.1	0.586	0.812	0.19	1	ffffff	32x32			831.2	-822.1	18.8	26.0
30	13	2	warrior_lay	-904.7	2088.9	1.000	1.000	1.00	1	ffffff	48x48			-904.7	2064.9	48.0	48.0
31	13	2	gem	248.2	518.9	2.000	2.000	1.00	1	ffffff	16x16			248.2	502.9	32.0	32.0
32	13	2	heart	2259.3	216.2	0.690	0.955	0.15	1	ffffff	32x32			2259.3	216.2	22.1	30.6
33	13	2	gem	539.7	308.0	2.000	2.000	1.00	1	ffffff	16x16			539.7	292.0	32.0	32.0
34	13	2	gem	945.3	164.6	2.000	2.000	1.00	1	ffffff	16x16			945.3	148.6	32.0	32.0
35	13	2	graveyard_evil_tree	-88.7	-805.1	1.211	1.252	1.00	1	ffffff	99x103			-88.7	-852.8	119.9	128.9
36	13	2	heart	134.2	1869.3	0.578	0.800	0.57	1	ffffff	32x32			134.2	1869.3	18.5	25.6
37	13	2	fire	1747.3	166.9	2.500	2.500	1.00	1	ffffff	24x24			1747.3	154.9	60.0	60.0
38	13	2	gem	518.3	314.1	2.000	2.000	1.00	1	ffffff	16x16			518.3	298.1	32.0	32.0
39	13	2	gem	655.9	422.2	2.000	2.000	1.00	1	ffffff	16x16			655.9	406.2	32.0	32.0
40	13	2	gem	519.3	307.2	2.000	2.000	1.00	1	ffffff	16x16			519.3	291.2	32.0	32.0
41	13	2	heart	376.6	85.2	0.612	0.847	0.13	1	ffffff	32x32			376.6	85.2	19.6	27.1
42	13	2	heart	318.6	634.9	0.569	0.787	0.03	1	ffffff	32x32			318.6	634.9	18.2	25.2
43	13	2	gem	666.3	355.9	2.000	2.000	1.00	1	ffffff	16x16			666.3	339.9	32.0	32.0
44	13	2	gem	369.8	715.0	2.000	2.000	1.00	1	ffffff	16x16			369.8	699.0	32.0	32.0
45	13	2	graveyard_evil_tree	-928.7	-925.1	1.205	1.226	1.00	1	ffffff	99x103			-928.7	-971.8	119.3	126.3
46	13	2	heart	1284.1	-490.6	0.579	0.802	0.57	1	ffffff	32x32			1284.1	-490.6	18.5	25.7
47	13	2	gem	462.5	351.9	2.000	2.000	1.00	1	ffffff	16x16			462.5	335.9	32.0	32.0
48	13	2	heart	1750.8	109.7	0.660	0.914	0.62	1	ffffff	32x32			1750.8	109.7	21.1	29.2
49	13	2	bubble	-904.7	2040.9	1.250	1.250	1.00	1	ffffff	140x42			-904.7	2014.6	175.0	52.5
50	13	2	heart	1741.5	108.8	0.676	0.936	0.20	1	ffffff	32x32			1741.5	108.8	21.6	30.0
51	13	2	gem	464.9	590.0	2.000	2.000	1.00	1	ffffff	16x16			464.9	574.0	32.0	32.0
52	13	2	gem	343.9	432.8	2.000	2.000	1.00	1	ffffff	16x16			343.9	416.8	32.0	32.0
53	13	2	gem	510.7	308.7	2.000	2.000	1.00	1	ffffff	16x16			510.7	292.7	32.0	32.0
54	13	2	graveyard_evil_tree	2095.3	-1117.1	1.211	1.252	1.00	1	ffffff	99x103			2095.3	-1164.8	119.9	129.0
55	13	2	heart	329.3	648.9	0.620	0.858	0.56	1	ffffff	32x32			329.3	648.9	19.8	27.5
56	13	2	fire	-892.7	-457.1	2.500	2.500	1.00	1	ffffff	24x24			-892.7	-469.1	60.0	60.0
57	13	2	enemy1	697.3	502.5	-3.000	3.000	1.00	1	ffffff	16x17			697.3	477.0	48.0	51.0
58	13	2	gem	555.7	309.2	2.000	2.000	1.00	1	ffffff	16x16			555.7	293.2	32.0	32.0
59	13	2	heart	-82.3	1125.6	0.607	0.841	0.62	1	ffffff	32x32			-82.3	1125.6	19.4	26.9
60	13	2	gem	669.0	235.1	2.000	2.000	1.00	1	ffffff	16x16			669.0	219.1	32.0	32.0
61	13	2	fire	835.3	-745.1	2.500	2.500	1.00	1	ffffff	24x24			835.3	-757.1	60.0	60.0
62	13	2	gem	639.8	434.7	2.000	2.000	1.00	1	ffffff	16x16			639.8	418.7	32.0	32.0
63	13	2	heart	669.3	-1389.1	0.581	0.804	0.09	1	ffffff	32x32			669.3	-1389.1	18.6	25.7
64	13	2	gem	520.3	311.1	2.000	2.000	1.00	1	ffffff	16x16			520.3	295.1	32.0	32.0
65	13	2	gem	513.4	305.6	2.000	2.000	1.00	1	ffffff	16x16			513.4	289.6	32.0	32.0
66	13	2	fire	1291.3	-433.1	2.500	2.500	1.00	1	ffffff	24x24			1291.3	-445.1	60.0	60.0
67	13	2	heart	846.0	-792.9	0.611	0.846	0.62	1	ffffff	32x32			846.0	-792.9	19.6	27.1
68	13	2	heart	1101.2	-222.1	0.553	0.766	0.60	1	ffffff	32x32			1101.2	-222.1	17.7	24.5
69	13	2	gem	403.0	900.2	2.000	2.000	1.00	1	ffffff	16x16			403.0	884.2	32.0	32.0
70	13	2	gem	365.4	630.0	2.000	2.000	1.00	1	ffffff	16x16			365.4	614.0	32.0	32.0
71	13	2	fire	-628.7	-1105.1	2.500	2.500	1.00	1	ffffff	24x24			-628.7	-1117.1	60.0	60.0
72	13	2	gem	55.1	128.9	2.000	2.000	1.00	1	ffffff	16x16			55.1	112.9	32.0	32.0
73	13	2	heart	-1514.2	1871.1	0.690	0.955	0.10	1	ffffff	32x32			-1514.2	1871.1	22.1	30.6
74	13	2	fire	667.3	-1321.1	2.500	2.500	1.00	1	ffffff	24x24			667.3	-1333.1	60.0	60.0
75	13	2	heart	-885.4	-529.5	0.670	0.928	0.03	1	ffffff	32x32			-885.4	-529.5	21.4	29.7
76	13	2	gem	520.1	308.2	2.000	2.000	1.00	1	ffffff	16x16			520.1	292.2	32.0	32.0
77	13	2	fire	2347.3	-745.1	2.500	2.500	1.00	1	ffffff	24x24			2347.3	-757.1	60.0	60.0
78	13	2	heart	676.1	-1376.7	0.575	0.796	0.60	1	ffffff	32x32			676.1	-1376.7	18.4	25.5
79	13	2	gem	1089.4	474.0	2.000	2.000	1.00	1	ffffff	16x16			1089.4	458.0	32.0	32.0
80	13	2	fire	1435.3	934.9	2.500	2.500	1.00	1	ffffff	24x24			1435.3	922.9	60.0	60.0
81	13	2	heart	2252.2	239.1	0.650	0.900	0.56	1	ffffff	32x32			2252.2	239.1	20.8	28.8
82	13	2	heart	2356.8	-808.1	0.564	0.781	0.11	1	ffffff	32x32			2356.8	-808.1	18.1	25.0
83	13	2	gem	512.6	313.9	2.000	2.000	1.00	1	ffffff	16x16			512.6	297.9	32.0	32.0
84	13	2	gem	775.6	127.7	2.000	2.000	1.00	1	ffffff	16x16			775.6	111.7	32.0	32.0
85	13	2	gem	390.3	15.1	2.000	2.000	1.00	1	ffffff	16x16			390.3	-0.9	32.0	32.0
86	13	2	fire	1099.3	-169.1	2.500	2.500	1.00	1	ffffff	24x24			1099.3	-181.1	60.0	60.0
87	13	2	fire	2251.3	286.9	2.500	2.500	1.00	1	ffffff	24x24			2251.3	274.9	60.0	60.0
88	13	2	gem	798.2	88.1	2.000	2.000	1.00	1	ffffff	16x16			798.2	72.1	32.0	32.0
89	13	2	fire	139.3	1918.9	2.500	2.500	1.00	1	ffffff	24x24			139.3	1906.9	60.0	60.0
90	13	2	gem	909.4	343.8	2.000	2.000	1.00	1	ffffff	16x16			909.4	327.8	32.0	32.0
91	13	2	gem	725.6	856.1	2.000	2.000	1.00	1	ffffff	16x16			725.6	840.1	32.0	32.0
92	13	2	gem	520.5	310.4	2.000	2.000	1.00	1	ffffff	16x16			520.5	294.4	32.0	32.0
93	13	2	heart	-1514.9	1896.2	0.539	0.747	0.60	1	ffffff	32x32			-1514.9	1896.2	17.3	23.9
94	13	2	heart	-633.2	-1157.7	0.627	0.869	0.58	1	ffffff	32x32			-633.2	-1157.7	20.1	27.8
95	13	2	gem	377.9	415.7	2.000	2.000	1.00	1	ffffff	16x16			377.9	399.7	32.0	32.0
96	13	2	gem	419.5	202.7	2.000	2.000	1.00	1	ffffff	16x16			419.5	186.7	32.0	32.0
97	13	2	heart	2351.8	-798.9	0.633	0.876	0.61	1	ffffff	32x32			2351.8	-798.9	20.3	28.0
98	13	2	gem	182.1	7.9	2.000	2.000	1.00	1	ffffff	16x16			182.1	-8.1	32.0	32.0
99	13	2	heart	1434.1	868.5	0.662	0.916	0.11	1	ffffff	32x32			1434.1	868.5	21.2	29.3
100	13	2	gem	782.9	110.6	2.000	2.000	1.00	1	ffffff	16x16			782.9	94.6	32.0	32.0
101	13	2	hero	515.5	310.0	3.000	3.000	1.00	1	ffffff	16x16			515.5	286.0	48.0	48.0
102	13	2	heart	1319.9	1889.4	0.535	0.740	0.55	1	ffffff	32x32			1319.9	1889.4	17.1	23.7
103	13	2	heart	1441.0	885.3	0.573	0.794	0.56	1	ffffff	32x32			1441.0	885.3	18.3	25.4
104	13	2	gem	948.0	212.5	2.000	2.000	1.00	1	ffffff	16x16			948.0	196.5	32.0	32.0
105	13	2	gem	891.5	833.7	2.000	2.000	1.00	1	ffffff	16x16			891.5	817.7	32.0	32.0
106	13	2	gem	527.8	307.8	2.000	2.000	1.00	1	ffffff	16x16			527.8	291.8	32.0	32.0
107	13	2	gem	193.6	173.1	2.000	2.000	1.00	1	ffffff	16x16			193.6	157.1	32.0	32.0
108	13	2	gem	387.0	873.7	2.000	2.000	1.00	1	ffffff	16x16			387.0	857.7	32.0	32.0
109	13	2	gem	1028.5	515.2	2.000	2.000	1.00	1	ffffff	16x16			1028.5	499.2	32.0	32.0
110	13	2	fire	331.3	694.9	2.500	2.500	1.00	1	ffffff	24x24			331.3	682.9	60.0	60.0
111	13	2	gem	71.6	409.7	2.000	2.000	1.00	1	ffffff	16x16			71.6	393.7	32.0	32.0
112	13	2	graveyard_evil_tree	-928.7	1330.9	1.190	1.158	1.00	1	ffffff	99x103			-928.7	1286.8	117.8	119.3
113	13	2	heart	-641.9	-1157.3	0.632	0.874	0.03	1	ffffff	32x32			-641.9	-1157.3	20.2	28.0
114	13	2	gem	435.2	240.6	2.000	2.000	1.00	1	ffffff	16x16			435.2	224.6	32.0	32.0
115	13	2	gem	399.8	463.4	2.000	2.000	1.00	1	ffffff	16x16			399.8	447.4	32.0	32.0
116	13	2	gem	518.9	313.4	2.000	2.000	1.00	1	ffffff	16x16			518.9	297.4	32.0	32.0
117	13	2	gem	430.9	323.6	2.000	2.000	1.00	1	ffffff	16x16			430.9	307.6	32.0	32.0
118	13	2	heart	370.3	91.6	0.621	0.860	0.55	1	ffffff	32x32			370.3	91.6	19.9	27.5
119	13	2	gem	421.1	345.0	2.000	2.000	1.00	1	ffffff	16x16			421.1	329.0	32.0	32.0
120	13	2	fire	1315.3	1942.9	2.500	2.500	1.00	1	ffffff	24x24			1315.3	1930.9	60.0	60.0
121	13	2	gem	793.6	491.3	2.000	2.000	1.00	1	ffffff	16x16			793.6	475.3	32.0	32.0
122	13	2	fire	-1516.7	1942.9	2.500	2.500	1.00	1	ffffff	24x24			-1516.7	1930.9	60.0	60.0
123	13	2	heart	1321.9	1886.6	0.679	0.941	0.07	1	ffffff	32x32			1321.9	1886.6	21.7	30.1
124	13	2	graveyard_evil_tree	1519.3	-1165.1	1.204	1.218	1.00	1	ffffff	99x103			1519.3	-1211.5	119.2	125.4
