t	heroX	heroY	hp	enemies	gems	nearest	level
0	515.5	290.0	7	0	0	9999.0	1
7	515.5	290.0	7	0	0	9999.0	1
14	515.5	290.0	7	0	0	9999.0	1
22	515.5	290.0	7	0	0	9999.0	1
28	515.5	290.0	7	0	0	9999.0	1
34	515.5	290.0	7	0	0	9999.0	1
40	515.5	290.0	7	0	0	9999.0	1
45	515.5	290.0	7	0	0	9999.0	1
52	515.5	290.0	7	0	0	9999.0	1
58	515.5	290.0	7	0	0	9999.0	1
64	515.5	290.0	7	0	0	9999.0	1
70	515.5	290.0	7	0	0	9999.0	1
76	515.5	290.0	7	0	0	407.6	1
83	515.5	290.0	7	5	0	407.3	1
89	515.5	290.0	7	5	0	407.0	1
95	515.5	290.0	7	5	0	406.8	1
101	515.5	290.0	7	5	0	406.5	1
107	515.5	290.0	7	5	0	406.3	1
113	515.5	290.0	7	5	0	406.1	1
119	515.5	290.0	7	5	0	405.8	1
125	515.5	290.0	7	5	0	405.6	1
131	515.5	290.0	7	5	0	405.4	1
137	515.5	290.0	7	5	0	405.1	1
143	515.5	290.0	7	5	0	404.9	1
150	515.5	290.0	7	5	0	404.6	1
156	515.5	290.0	7	5	0	404.4	1
161	515.5	290.0	7	5	0	404.1	1
168	515.5	290.0	7	5	0	403.9	1
173	515.5	290.0	7	5	0	403.7	1
179	515.5	290.0	7	5	0	403.4	1
186	515.5	290.0	7	5	0	403.2	1
191	515.5	290.0	7	5	0	402.9	1
197	515.5	290.0	7	5	0	402.7	1
203	515.5	290.0	7	5	0	402.5	1
209	515.5	290.0	7	5	0	402.2	1
215	515.5	290.0	7	5	0	402.0	1
221	515.5	290.0	7	5	0	401.7	1
227	515.5	290.0	7	5	0	401.5	1
233	515.5	290.0	7	5	0	401.3	1
239	515.5	290.0	7	5	0	401.0	1
244	515.5	290.0	7	5	0	400.8	1
251	515.5	290.0	7	5	0	400.6	1
256	515.5	290.0	7	5	0	400.4	1
262	515.5	290.0	7	5	0	400.1	1
268	515.5	290.0	7	5	0	399.9	1
274	515.5	290.0	7	5	0	399.7	1
279	515.5	290.0	7	5	0	399.4	1
286	515.5	290.0	7	5	0	399.2	1
291	515.5	290.0	7	5	0	399.0	1
297	515.5	290.0	7	5	0	398.7	1
303	515.5	290.0	7	5	0	398.5	1
309	515.5	290.0	7	5	0	398.2	1
315	515.5	290.0	7	5	0	398.0	1
321	515.5	290.0	7	5	0	397.8	1
327	515.5	290.0	7	5	0	397.5	1
334	515.5	290.0	7	5	0	397.3	1
339	515.5	290.0	7	5	0	397.0	1
345	515.5	290.0	7	5	0	396.8	1
351	515.5	290.0	7	5	0	396.6	1
357	515.5	290.0	7	5	0	396.3	1
363	515.5	290.0	7	5	0	396.1	1
369	515.5	290.0	7	5	0	395.8	1
374	515.5	290.0	7	5	0	395.6	1
381	515.5	290.0	7	5	0	395.4	1
387	515.5	290.0	7	5	0	395.1	1
392	515.5	290.0	7	5	0	394.9	1
398	515.5	290.0	7	5	0	394.7	1
404	515.5	290.0	7	5	0	394.4	1
410	515.5	290.0	7	5	0	394.2	1
417	515.5	290.0	7	5	0	393.9	1
423	515.5	290.0	7	5	0	393.7	1
428	515.5	290.0	7	5	0	393.5	1
434	515.5	290.0	7	5	0	393.2	1
440	515.5	290.0	7	5	0	393.0	1
446	515.5	290.0	7	5	0	392.8	1
453	515.5	290.0	7	5	0	392.5	1
459	515.5	290.0	7	5	0	392.3	1
468	515.5	290.0	7	6	0	391.9	1
474	515.5	290.0	7	6	0	391.6	1
480	515.5	290.0	7	6	0	391.4	1
487	515.5	290.0	7	6	0	391.1	1
493	515.5	290.0	7	6	0	390.9	1
499	515.5	290.0	7	6	0	390.6	1
506	515.5	290.0	7	6	0	390.4	1
511	515.5	290.0	7	6	0	390.2	1
517	515.5	290.0	7	6	0	389.9	1
523	515.5	290.0	7	6	0	389.7	1
529	515.5	290.0	7	6	0	389.5	1
535	515.5	290.0	7	6	0	389.2	1
541	515.5	290.0	7	6	0	389.0	1
546	515.5	290.0	7	6	0	388.8	1
553	515.5	290.0	7	6	0	388.5	1
558	515.5	290.0	7	6	0	388.3	1
564	515.5	290.0	7	6	0	388.1	1
570	515.5	290.0	7	6	0	387.8	1
576	515.5	290.0	7	6	0	387.6	1
582	515.5	290.0	7	6	0	387.3	1
588	515.5	290.0	7	6	0	387.1	1
593	515.5	290.0	7	6	0	386.9	1
600	515.5	290.0	7	6	0	386.6	1
606	515.5	290.0	7	6	0	386.4	1
611	515.5	290.0	7	6	0	386.2	1
617	515.5	290.0	7	6	0	385.9	1
623	515.5	290.0	7	6	0	385.7	1
629	515.5	290.0	7	6	0	385.5	1
635	515.5	290.0	7	6	0	385.2	1
640	515.5	290.0	7	6	0	385.0	1
646	515.5	290.0	7	6	0	384.8	1
653	515.5	290.0	7	6	0	384.5	1
659	515.5	290.0	7	6	0	384.3	1
666	515.5	290.0	7	6	0	384.0	1
672	515.5	290.0	7	6	0	383.7	1
678	515.5	290.0	7	6	0	383.5	1
685	515.5	290.0	7	6	0	383.2	1
690	515.5	290.0	7	6	0	383.0	1
696	515.5	290.0	7	6	0	382.8	1
703	515.5	290.0	7	6	0	382.5	1
709	515.5	290.0	7	6	0	382.3	1
715	515.5	290.0	7	6	0	382.0	1
722	515.5	290.0	7	6	0	381.8	1
727	515.5	290.0	7	6	0	381.5	1
733	515.5	290.0	7	6	0	381.3	1
739	515.5	290.0	7	6	0	381.0	1
745	515.5	290.0	7	6	0	380.8	1
751	515.5	290.0	7	6	0	380.6	1
757	515.5	290.0	7	6	0	380.3	1
763	515.5	290.0	7	6	0	380.1	1
770	515.5	290.0	7	6	0	379.8	1
775	515.5	290.0	7	6	0	379.6	1
782	515.5	290.0	7	6	0	379.4	1
789	515.5	290.0	7	6	0	379.1	1
795	515.5	290.0	7	6	0	378.8	1
