t	scale
0	1.0930
5	1.0944
11	1.0960
16	1.0976
22	1.0991
27	1.1006
32	1.1020
37	1.1034
42	1.1047
47	1.1059
52	1.1072
57	1.1084
63	1.1096
68	1.1109
72	1.1120
77	1.1130
82	1.1141
87	1.1152
92	1.1161
97	1.1170
101	1.1181
106	1.1189
111	1.1197
116	1.1206
120	1.1214
126	1.1221
132	1.1229
136	1.1238
142	1.1244
147	1.1251
152	1.1258
157	1.1263
162	1.1268
167	1.1273
172	1.1278
177	1.1281
182	1.1285
187	1.1288
192	1.1291
198	1.1294
202	1.1296
207	1.1298
213	1.1299
218	1.1300
222	1.1300
228	1.1300
233	1.1299
238	1.1299
243	1.1297
248	1.1296
252	1.1294
256	1.1292
262	1.1289
266	1.1286
271	1.1283
276	1.1279
282	1.1274
286	1.1269
292	1.1264
297	1.1259
302	1.1252
306	1.1246
312	1.1240
316	1.1233
320	1.1227
325	1.1220
330	1.1212
335	1.1204
339	1.1196
345	1.1187
350	1.1177
355	1.1167
361	1.1157
366	1.1146
370	1.1135
376	1.1125
382	1.1112
387	1.1099
392	1.1087
397	1.1075
402	1.1062
406	1.1050
411	1.1038
416	1.1024
420	1.1012
425	1.1000
430	1.0987
435	1.0972
440	1.0959
445	1.0946
450	1.0931
454	1.0917
460	1.0902
465	1.0887
470	1.0871
475	1.0856
480	1.0839
485	1.0822
490	1.0807
495	1.0793
500	1.0775
505	1.0759
512	1.0743
517	1.0723
522	1.0706
528	1.0690
533	1.0672
538	1.0655
543	1.0639
548	1.0621
553	1.0604
558	1.0589
566	1.0572
572	1.0549
577	1.0529
582	1.0511
587	1.0494
592	1.0480
597	1.0465
602	1.0449
607	1.0433
613	1.0419
618	1.0401
622	1.0386
629	1.0372
634	1.0355
639	1.0338
644	1.0325
649	1.0311
653	1.0298
659	1.0286
664	1.0271
669	1.0256
674	1.0244
680	1.0232
685	1.0218
690	1.0205
696	1.0194
701	1.0180
706	1.0168
711	1.0158
716	1.0147
721	1.0136
726	1.0127
732	1.0118
736	1.0108
742	1.0099
748	1.0089
752	1.0081
757	1.0073
763	1.0066
768	1.0058
773	1.0051
780	1.0045
785	1.0037
790	1.0032
796	1.0027
801	1.0022
806	1.0018
813	1.0015
818	1.0010
824	1.0007
831	1.0005
838	1.0002
847	1.0001
853	1.0000
857	1.0000
864	1.0001
870	1.0002
875	1.0004
881	1.0006
886	1.0009
892	1.0011
898	1.0015
903	1.0020
907	1.0024
913	1.0028
917	1.0033
922	1.0038
927	1.0043
932	1.0050
937	1.0056
941	1.0062
947	1.0069
951	1.0077
956	1.0084
961	1.0092
966	1.0101
971	1.0110
978	1.0119
983	1.0131
988	1.0143
994	1.0152
999	1.0164
1004	1.0177
1009	1.0187
1014	1.0198
1018	1.0210
1024	1.0221
1032	1.0234
1041	1.0255
1051	1.0278
1056	1.0306
1064	1.0321
1069	1.0342
1075	1.0358
1080	1.0374
1085	1.0390
1089	1.0404
1094	1.0418
1099	1.0433
1104	1.0448
1109	1.0462
1114	1.0477
1119	1.0494
1123	1.0508
1128	1.0523
1133	1.0539
