t	frame	heroX	heroY	tint	alpha	enemies	gems	nearest	meters	meteors	boss
8	1	515.5	310	ffffff	1	0	0			0	0
23	2	515.5	310	ffffff	1	0	0			0	0
40	3	515.5	310	ffffff	1	0	0			0	0
56	4	515.5	310	ffffff	1	0	0			0	0
73	5	515.5	310	ffffff	1	0	0			0	0
89	6	515.5	310	ffffff	1	0	0			0	0
106	7	515.5	310	ffffff	1	0	0			0	0
123	8	515.5	310	ffffff	1	0	0			0	0
139	9	515.5	310	ffffff	1	0	0			0	0
156	10	515.5	310	ffffff	1	0	0			0	0
173	11	515.5	310	ffffff	1	0	0			0	0
189	12	515.5	310	ffffff	1	0	0			0	0
206	13	515.5	310	ffffff	1	0	0			0	0
223	14	515.5	310	ffffff	1	0	0			0	0
239	15	515.5	310	ffffff	1	0	0			0	0
256	16	515.5	310	ffffff	1	0	0			0	0
273	17	515.5	310	ffffff	1	0	0			0	0
289	18	515.5	310	ffffff	1	0	0			0	0
306	19	515.5	310	ffffff	1	0	0			0	0
323	20	515.5	310	ffffff	1	0	0			0	0
339	21	515.5	310	ffffff	1	0	0			0	0
356	22	515.5	310	ffffff	1	0	0			0	0
373	23	515.5	310	ffffff	1	0	0			0	0
389	24	515.5	310	ffffff	1	0	0			0	0
406	25	515.5	310	ffffff	1	0	0			0	0
423	26	515.5	310	ffffff	1	0	0			0	0
439	27	515.5	310	ffffff	1	0	0			0	0
456	28	515.5	310	ffffff	1	0	0			0	0
472	29	515.5	310	ffffff	1	0	0			0	0
491	30	515.5	310	ffffff	1	0	0			0	0
507	31	515.5	310	ffffff	1	0	0			0	0
523	32	515.5	310	ffffff	1	0	0			0	0
540	33	515.5	310	ffffff	1	0	0			0	0
557	34	515.5	310	ffffff	1	0	0			0	0
573	35	515.5	310	ffffff	1	0	0			0	0
591	36	515.5	310	ffffff	1	0	0			0	0
607	37	515.5	310	ffffff	1	0	0			0	0
624	38	515.5	310	ffffff	1	0	0			0	0
640	39	515.5	310	ffffff	1	0	0			0	0
657	40	515.5	310	ffffff	1	0	0			0	0
674	41	515.5	310	ffffff	1	0	0			0	0
690	42	515.5	310	ffffff	1	0	0			0	0
707	43	515.5	310	ffffff	1	0	0			0	0
723	44	515.5	310	ffffff	1	0	0			0	0
740	45	515.5	310	ffffff	1	0	0			0	0
757	46	515.5	310	ffffff	1	0	0			0	0
776	47	515.5	310	ffffff	1	0	0			0	0
790	48	515.5	310	ffffff	1	0	0			0	0
807	49	515.5	310	ffffff	1	0	0			0	0
823	50	515.5	310	ffffff	1	0	0			0	0
840	51	515.5	310	ffffff	1	0	0			0	0
857	52	515.5	310	ffffff	1	0	0			0	0
