t	frame	heroX	heroY	tint	alpha	enemies	gems	nearest	meters	meteors	boss
9	1	515.5	310	ffffff	1	0	0			0	0
24	2	515.5	310	ffffff	1	0	0			0	0
40	3	515.5	310	ffffff	1	0	0			0	0
57	4	515.5	310	ffffff	1	0	0			0	0
73	5	515.5	310	ffffff	1	0	0			0	0
90	6	515.5	310	ffffff	1	0	0			0	0
107	7	515.5	310	ffffff	1	0	0			0	0
123	8	515.5	310	ffffff	1	0	0			0	0
140	9	515.5	310	ffffff	1	0	0			0	0
156	10	515.5	310	ffffff	1	0	0			0	0
173	11	515.5	310	ffffff	1	0	0			0	0
190	12	515.5	310	ffffff	1	0	0			0	0
206	13	515.5	310	ffffff	1	0	0			0	0
223	14	515.5	310	ffffff	1	0	0			0	0
240	15	515.5	310	ffffff	1	0	0			0	0
256	16	515.5	310	ffffff	1	0	0			0	0
273	17	515.5	310	ffffff	1	0	0			0	0
289	18	515.5	310	ffffff	1	0	0			0	0
306	19	515.5	310	ffffff	1	0	0			0	0
323	20	515.5	310	ffffff	1	0	0			0	0
340	21	515.5	310	ffffff	1	0	0			0	0
356	22	515.5	310	ffffff	1	0	0			0	0
373	23	515.5	310	ffffff	1	0	0			0	0
390	24	515.5	310	ffffff	1	0	0			0	0
406	25	515.5	310	ffffff	1	0	0			0	0
423	26	515.5	310	ffffff	1	0	0			0	0
439	27	515.5	310	ffffff	1	0	0			0	0
456	28	515.5	310	ffffff	1	0	0			0	0
473	29	515.5	310	ffffff	1	0	0			0	0
490	30	515.5	310	ffffff	1	0	0			0	0
506	31	515.5	310	ffffff	1	0	0			0	0
523	32	515.5	310	ffffff	1	0	0			0	0
539	33	515.5	310	ffffff	1	0	0			0	0
556	34	515.5	310	ffffff	1	0	0			0	0
573	35	515.5	310	ffffff	1	0	0			0	0
590	36	515.5	310	ffffff	1	0	0			0	0
606	37	515.5	310	ffffff	1	0	0			0	0
623	38	515.5	310	ffffff	1	0	0			0	0
639	39	515.5	310	ffffff	1	0	0			0	0
656	40	515.5	310	ffffff	1	0	0			0	0
673	41	515.5	310	ffffff	1	0	0			0	0
690	42	515.5	310	ffffff	1	0	0			0	0
706	43	515.5	310	ffffff	1	0	0			0	0
723	44	515.5	310	ffffff	1	0	0			0	0
739	45	515.5	310	ffffff	1	0	0			0	0
756	46	515.5	310	ffffff	1	0	0			0	0
773	47	515.5	310	ffffff	1	0	0			0	0
790	48	515.5	310	ffffff	1	0	0			0	0
806	49	515.5	310	ffffff	1	0	0			0	0
823	50	515.5	310	ffffff	1	0	0			0	0
840	51	515.5	310	ffffff	1	0	0			0	0
856	52	515.5	310	ffffff	1	0	0			0	0
873	53	515.5	310	ffffff	1	0	0			0	0
889	54	515.5	310	ffffff	1	0	0			0	0
906	55	515.5	310	ffffff	1	0	0			0	0
923	56	515.5	310	ffffff	1	0	0			0	0
940	57	515.5	310	ffffff	1	0	0			0	0
956	58	515.5	310	ffffff	1	0	0			0	0
973	59	515.5	310	ffffff	1	0	0			0	0
989	60	515.5	310	ffffff	1	0	0			0	0
1006	61	515.5	310	ffffff	1	0	0			0	0
1023	62	515.5	310	ffffff	1	0	0			0	0
1040	63	515.5	310	ffffff	1	0	0			0	0
1056	64	515.5	310	ffffff	1	0	0			0	0
1073	65	515.5	310	ffffff	1	0	0			0	0
1090	66	515.5	310	ffffff	1	0	0			0	0
