# label: 02_battle_3s
# screen: 1920x1080  logical: 1031.11x580
# sim: level=1 gauge=0/15 t=3.52 enemies=10 gems=2 paused=False
kind	path	visible	alpha	cx	cy	w	h	sprite	text	fontSize	color
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar	1	1.00	512.56	27.00	957.11	20.00	skill_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar/Fill	1	1.00	513.06	27.00	956.11	18.00	bar			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeText	1	1.00	512.56	28.00	48.00	14.40		0/15	12.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GemIcon	1	1.00	35.00	27.00	60.00	60.00	gem_icon			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg	1	1.00	995.11	27.00	72.00	72.00	lvl_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg/LevelText	1	1.00	997.11	28.00	18.00	21.60		1	18.00	000000
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestArrow	1	1.00	267.90	527.42	107.99	106.92	quest_pointer			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestDistanceText	1	1.00	275.61	520.50	44.94	16.80		93m	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/TimerText	1	1.00	512.56	55.00	70.00	16.80		00:03	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Dimmer	0	0.50	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start	0	1.00	515.56	435.00	284.39	113.76	btn_shadowed			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start/Label	0	1.00	516.70	437.19	70.22	39.38		시작	30.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0	0	0.90	515.56	148.00	420.00	92.00	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Icon	0	1.00	345.56	148.00	54.00	54.00	icon_bullet_damage			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Stat	0	1.00	545.56	161.00	300.00	22.40		피해량 +100%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Target	0	1.00	545.56	136.00	300.00	28.80		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1	0	0.90	515.56	255.00	420.00	92.00	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Icon	0	1.00	345.56	255.00	54.00	54.00	icon_bullet_damage			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Stat	0	1.00	545.56	268.00	300.00	22.40		피해량 +100%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Target	0	1.00	545.56	243.00	300.00	28.80		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2	0	0.90	515.56	362.00	420.00	92.00	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Icon	0	1.00	345.56	362.00	54.00	54.00	icon_bullet_damage			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Stat	0	1.00	545.56	375.00	300.00	22.40		피해량 +100%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Target	0	1.00	545.56	350.00	300.00	28.80		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm	0	1.00	515.56	497.00	210.00	58.00	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm/Label	0	1.00	515.56	497.00	210.00	58.00		선택	20.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Dimmer	0	0.70	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Title	0	1.00	515.56	68.00	214.81	38.40		레벨 업!	24.00	FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	-105.25	254.39	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	-33.10	437.45	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	-70.23	330.06	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	-93.23	445.87	48.00	51.00	enemy1_0_3			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	1037.06	30.28	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	196.61	-36.50	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	688.33	532.19	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	801.40	561.34	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	857.24	447.47	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	866.23	71.08	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.00	-1015.57	-38.57	18.06	25.00	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.01	-694.44	-896.72	22.42	31.05	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.01	1248.45	2029.77	22.36	30.95	heart			FFFFFF
