# label: 10_levelup_open
# screen: 1920x1080  logical: 1031.11x580
# sim: level=2 gauge=0/40 t=7.50 enemies=7 gems=8 paused=True
kind	path	visible	alpha	cx	cy	w	h	sprite	text	fontSize	color
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar	1	1.00	512.56	27.00	957.11	20.00	skill_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar/Fill	1	1.00	513.06	27.00	956.11	18.00	bar			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeText	1	1.00	512.56	28.00	48.00	14.40		0/40	12.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GemIcon	1	1.00	35.00	27.00	60.00	60.00	gem_icon			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg	1	1.00	995.11	27.00	72.00	72.00	lvl_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg/LevelText	1	1.00	997.11	28.00	18.00	21.60		2	18.00	000000
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestArrow	0	1.00	169.62	534.84	110.23	101.65	quest_pointer			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestDistanceText	0	1.00	178.27	529.07	44.94	16.80		82m	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/TimerText	1	1.00	512.56	55.00	70.00	16.80		00:07	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Dimmer	0	0.50	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start	0	1.00	515.56	435.00	284.39	113.76	btn_shadowed			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start/Label	0	1.00	516.70	437.19	70.22	39.38		시작	30.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0	1	0.90	515.56	148.00	420.00	92.00	reward_button_bg			F59E0B
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Icon	1	1.00	345.56	148.00	54.00	54.00	icon_bullets_firerate			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Stat	1	1.00	465.56	161.00	140.00	16.80		발사 속도 +30%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Target	1	1.00	413.56	136.00	36.00	21.60		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1	1	0.90	515.56	255.00	420.00	92.00	reward_button_bg			EF4444
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Icon	1	1.00	345.56	255.00	54.00	54.00	icon_bullet_damage			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Stat	1	1.00	458.56	268.00	126.00	16.80		피해량 +100%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Target	1	1.00	413.56	243.00	36.00	21.60		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2	1	0.90	515.56	362.00	420.00	92.00	reward_button_bg			34D399
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Icon	1	1.00	345.56	362.00	54.00	54.00	icon_hero_movespeed			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Stat	1	1.00	465.56	375.00	140.00	16.80		이동 속도 +15%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Target	1	1.00	413.56	350.00	36.00	21.60		영웅	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm	0	1.00	515.56	497.00	210.00	58.00	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm/Label	0	1.00	515.56	497.00	210.00	58.00		선택	20.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Dimmer	1	0.70	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Title	1	1.00	515.56	68.00	120.00	28.80		레벨 업!	24.00	FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	1002.51	584.23	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	1037.66	413.71	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	211.86	174.00	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	269.40	530.95	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	283.32	-297.27	48.00	51.00	enemy1_0_3			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	305.85	-160.25	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	919.68	-251.14	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.11	-925.93	1765.87	20.01	27.71	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.12	415.16	31.70	19.02	26.33	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.14	1237.23	1640.20	21.81	30.20	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.15	-170.67	1716.08	18.27	25.30	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.15	-343.36	-229.41	20.59	28.51	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.15	-671.59	376.12	20.29	28.09	heart			FFFFFF
