# label: 12_levelup_confirmed
# screen: 1920x1080  logical: 1031.11x580
# sim: level=2 gauge=3/40 t=8.21 enemies=8 gems=8 paused=False
kind	path	visible	alpha	cx	cy	w	h	sprite	text	fontSize	color
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar	1	1.00	512.56	27.00	957.11	20.00	skill_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeBar/Fill	1	1.00	513.06	27.00	956.11	18.00	bar			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GaugeText	1	1.00	512.56	28.00	48.00	14.40		3/40	12.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/GemIcon	1	1.00	35.00	27.00	60.00	60.00	gem_icon			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg	1	1.00	995.11	27.00	72.00	72.00	lvl_bg			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/LevelBg/LevelText	1	1.00	997.11	28.00	18.00	21.60		2	18.00	000000
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestArrow	1	1.00	173.99	529.91	110.26	101.49	quest_pointer			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/QuestDistanceText	1	1.00	182.66	524.16	44.94	16.80		81m	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadBattleHudWindow/TimerText	1	1.00	512.56	55.00	70.00	16.80		00:08	14.00	FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Dimmer	0	0.50	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start	0	1.00	515.56	435.00	284.39	113.76	btn_shadowed			FFFFFF
ui	Canvas/UIRoot/Normal/UndeadReadyWindow/Start/Label	0	1.00	516.70	437.19	70.22	39.38		시작	30.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0	0	1.00	515.56	148.00	453.60	99.36	reward_button_bg			F59E0B
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Icon	0	1.00	331.96	148.00	58.32	58.32	icon_bullets_firerate			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Stat	0	1.00	461.56	162.04	151.20	18.14		발사 속도 +30%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card0/Target	0	1.00	405.40	135.04	38.88	23.33		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1	0	0.90	515.56	255.00	420.00	92.00	reward_button_bg			EF4444
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Icon	0	1.00	345.56	255.00	54.00	54.00	icon_bullet_damage			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Stat	0	1.00	458.56	268.00	126.00	16.80		피해량 +100%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card1/Target	0	1.00	413.56	243.00	36.00	21.60		총알	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2	0	0.90	515.56	362.00	420.00	92.00	reward_button_bg			34D399
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Icon	0	1.00	345.56	362.00	54.00	54.00	icon_hero_movespeed			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Stat	0	1.00	465.56	375.00	140.00	16.80		이동 속도 +15%	14.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Card2/Target	0	1.00	413.56	350.00	36.00	21.60		영웅	18.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm	0	1.00	515.56	497.00	211.71	58.47	reward_button_bg			FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Confirm/Label	0	1.00	515.56	497.00	40.33	24.20		선택	20.00	FFFFFF
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Dimmer	0	0.70	515.56	290.00	1031.11	580.00				000000
ui	Canvas/UIRoot/Popup/UndeadLevelUpWindow/Title	0	1.00	515.56	68.00	120.00	28.80		레벨 업!	24.00	FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	-39.98	433.22	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	1026.71	388.10	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	307.79	489.39	48.00	51.00	enemy1_0_1			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	309.94	-289.22	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	333.87	-152.69	48.00	51.00	enemy1_0_3			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	920.76	-250.72	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	921.73	-74.54	48.00	51.00	enemy1_0_0			FFFFFF
world	World/UndeadWorldView/Enemies/enemy_bat	1	1.00	992.80	549.61	48.00	51.00	enemy1_0_2			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.02	1243.97	-132.39	21.99	30.45	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.04	-152.84	1695.71	21.63	29.95	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.08	1334.39	-1608.02	18.83	26.07	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.10	-653.84	343.60	20.19	27.95	heart			FFFFFF
world	World/UndeadWorldView/FireHearts/heart	1	0.10	-971.12	777.20	18.55	25.69	heart			FFFFFF
